"ID";"P1";"P3";"P8";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P21";"P22";"P23";"P24";"P26";"P2";"P4";"P5";"P6";"P7";"P9";"P10";"P11";"P19";"P20"
412;Não;Na família;No trabalho;Sim;Física;1 vez;até 19 anos;Marido;NS/NR;;20 a 29 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Não;Muito importante;Importante;Sem Importância;Física;Sim;Física;;
413;As vezes;Na família;Na Justiça;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Estudante;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
414;As vezes;No trabalho;Na família;Não;;;;;;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Sim;Muito importante;Importante;Importante;Física;Não;;;
415;NS/NR;Na Justiça;Na família;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Não;Muito importante;Importante;Muito importante;Física;Sim;Física;;
416;As vezes;Na família;Na família;Não;;;;;;;20 a 29 anos;Ensino fundamental;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Sim;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
417;Sim;Na Justiça;Na família;Não;;;;;;;20 a 29 anos;Ensino médio;NS/NR;Trabalha fora;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Física;Não;;;
418;Não;No trabalho;Na família;Sim;Moral;4 vezes ou mais;20 a 29 anos;Marido;Procurou ajuda da família;;20 a 29 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;Não;Em parte;Muito importante;Importante;Pouco importante;Moral;Sim;Física;;
419;Não;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
420;Não;Na Justiça;No trabalho;Não;;;;;;;20 a 29 anos;Ensino superior;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Em parte;Importante;Importante;Pouco importante;Psicológica;Sim;Física;;
421;As vezes;Na família;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Dona de casa;Sudeste;As vezes;Em parte;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
422;As vezes;Na Justiça;Na família;Não;;;;;;;20 a 29 anos;Ensino superior;Mais de 21 salários mínimos (R$ 5.460);Estudante;Sudeste;Sim;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
423;Não;No trabalho;Na solicitação de serviços;Sim;Física;4 vezes ou mais;até 19 anos;Pai;Procurou ajuda de amigos;;20 a 29 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Sim;Física;;
424;As vezes;Na solicitação de serviços;No trabalho;Não;;;;;;;20 a 29 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Estudante;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
425;Não;Na Justiça;Na família;Não;;;;;;;20 a 29 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
426;As vezes;Na Justiça;Nas instituições públicas;Sim;Física;4 vezes ou mais;até 19 anos;Tio/Primo;Procurou uma delegacia comum;Ruim;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Estudante;Sudeste;Não;Não;Importante;Importante;Muito importante;Física;Sim;Física;Foi para sua casa;
427;Não;Na família;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Física;Não;;;
428;As vezes;Na Justiça;Na família;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Moral;Não;;;
429;Sim;Na família;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Sim;Sim;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
430;Sim;Na família;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino médio;Mais de 21 salários mínimos (R$ 5.460);Trabalha fora;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Física;Não;;;
431;As vezes;Nas instituições públicas;Na família;Não;;;;;;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Física;Sim;Física;;
432;Não;Na família;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Psicológica;Sim;Física;;
433;As vezes;Na Justiça;No trabalho;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Sim;Em parte;Muito importante;Importante;Muito importante;Sexual;Sim;Física;;
434;Não;No trabalho;Na Justiça;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;As vezes;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
435;Sim;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Sim;Sim;Importante;Muito importante;Importante;Física;Não;;;
436;Não;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
437;As vezes;Na família;NS/NR;Não;;;;;;;30 a 39 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
438;As vezes;Na família;Na solicitação de serviços;Sim;Psicológica;4 vezes ou mais;30 a 39 anos;Enteado/outro familiar;Procurou uma delegacia comum;Bom;30 a 39 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Sim;Importante;Importante;Importante;Sexual;Sim;Física;Foi para sua casa;
439;As vezes;Na família;NS/NR;Não;;;;;;;30 a 39 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;As vezes;Em parte;Muito importante;Muito importante;NS/NR;Sexual;Não;;;
440;As vezes;Na família;No trabalho;Não;;;;;;;30 a 39 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;NS/NR;Muito importante;Muito importante;Importante;Física;Não;;;
441;Não;Nas instituições públicas;Na solicitação de serviços;Sim;Física;1 vez;20 a 29 anos;Marido;Procurou ajuda da família;;30 a 39 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Sim;Psicológica;;
442;As vezes;Na família;Na solicitação de serviços;Sim;Moral;4 vezes ou mais;até 19 anos;Tio/Primo;Procurou ajuda de amigos;;30 a 39 anos;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;As vezes;Não;Muito importante;Muito importante;Muito importante;Psicológica;Sim;Moral;;
443;As vezes;Na família;No trabalho;Não;;;;;;;30 a 39 anos;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Não;Importante;Muito importante;Muito importante;Física;Não;;;
444;As vezes;Nas instituições públicas;No trabalho;Não;;;;;;;30 a 39 anos;Ensino fundamental;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Dona de casa;Sudeste;Não;Sim;Indiferente;Importante;Sem Importância;Física;Não;;;
445;Sim;Nas instituições públicas;Na família;Não;;;;;;;30 a 39 anos;Ensino superior;Mais de 21 salários mínimos (R$ 5.460);Dona de casa;Sudeste;Não;Em parte;Muito importante;Muito importante;Importante;Psicológica;Não;;;
446;As vezes;Na família;Na Justiça;Não;;;;;;;30 a 39 anos;Não alfabetizada;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;As vezes;Sim;Importante;Muito importante;Muito importante;Física;Não;;;
447;Não;No trabalho;NS/NR;Não;;;;;;;30 a 39 anos;Ensino fundamental;NS/NR;Trabalha fora;Sudeste;Não;Em parte;Importante;Importante;Pouco importante;Psicológica;Não;;;
448;Não;NS/NR;NS/NR;Não;;;;;;;30 a 39 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;As vezes;Em parte;Muito importante;Muito importante;Importante;Física;Não;;;
449;Não;Na família;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
450;Não;Nas instituições públicas;Na família;Sim;Física;4 vezes ou mais;até 19 anos;Marido;Procurou ajuda da família;;30 a 39 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Não;Importante;Muito importante;Importante;Física;Sim;Física;;
451;As vezes;Na Justiça;No trabalho;Não;;;;;;;30 a 39 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Física;Não;;;
452;Não;Na família;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Ensino médio;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Moral;Sim;Física;;
453;Não;Na família;Nas instituições públicas;Não;;;;;;;30 a 39 anos;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;As vezes;Sim;Muito importante;Muito importante;Muito importante;Física;Sim;Física;;
454;Não;Na família;NS/NR;Não;;;;;;;30 a 39 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Não;Importante;Importante;Importante;Física;Não;;;
455;Não;Na família;Na família;Não;;;;;;;30 a 39 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Importante;Sexual;Sim;Física;;
456;As vezes;Na família;No trabalho;Não;;;;;;;30 a 39 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Em parte;Muito importante;Importante;Muito importante;Física;Não;;;
457;Não;Na Justiça;Na família;Sim;Psicológica;4 vezes ou mais;20 a 29 anos;Marido;Procurou ajuda de amigos;;30 a 39 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Em parte;Muito importante;Importante;Importante;Psicológica;Sim;Moral;;
458;Não;Na família;No trabalho;Não;;;;;;;30 a 39 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
459;Não;Na Justiça;Na família;Sim;Física;2 vezes;20 a 29 anos;Marido;Procurou uma delegacia da mulher;Bom;30 a 39 anos;Ensino superior;NS/NR;Dona de casa;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Sim;Física;Foi para sua casa;
460;Não;Na Justiça;No trabalho;Não;;;;;;;30 a 39 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Não;Pouco Importante;Importante;Pouco importante;Física;Sim;Física;;
461;As vezes;Na família;Nas instituições públicas;Não;;;;;;;30 a 39 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
462;As vezes;Na família;No trabalho;Não;;;;;;;30 a 39 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Psicológica;Sim;Física;;
463;Não;Na Justiça;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Ensino médio;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Sim;Muito importante;Importante;Muito importante;Sexual;Não;;;
464;As vezes;NS/NR;Nas instituições públicas;Não;;;;;;;30 a 39 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
465;Não;No trabalho;Na Justiça;Não;;;;;;;40 a 49 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Não;Importante;Muito importante;Muito importante;Física;Não;;;
466;Não;Na família;Nas instituições públicas;Não;;;;;;;40 a 49 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Dona de casa;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Moral;Não;;;
467;Sim;Na família;Na solicitação de serviços;Sim;Psicológica;4 vezes ou mais;20 a 29 anos;Marido;NS/NR;;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Sim;Sim;Muito importante;Importante;Muito importante;Sexual;Não;;;
468;As vezes;Na solicitação de serviços;No trabalho;Não;;;;;;;40 a 49 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Em parte;Muito importante;Muito importante;Importante;Sexual;Sim;Sexual;;
469;Não;Na família;Na Justiça;Sim;Psicológica;4 vezes ou mais;até 19 anos;Pai;NS/NR;;40 a 49 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;As vezes;Não;Importante;Muito importante;Muito importante;Sexual;Sim;Física;;
470;As vezes;Na família;No trabalho;Não;;;;;;;40 a 49 anos;Ensino superior;Mais de 21 salários mínimos (R$ 5.460);Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Física;Sim;Física;;
471;Não;No trabalho;Na Justiça;Não;;;;;;;40 a 49 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Sim;Física;;
472;Não;Na família;Na solicitação de serviços;Não;;;;;;;40 a 49 anos;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Dona de casa;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
473;Não;Na família;No trabalho;Sim;Física;1 vez;20 a 29 anos;Marido;NS/NR;;40 a 49 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Indiferente;Psicológica;Sim;Física;;
474;Não;Na família;No trabalho;Não;;;;;;;40 a 49 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
475;As vezes;Na Justiça;Na família;Sim;Sexual;4 vezes ou mais;até 19 anos;Tio/Primo;Silenciou;;40 a 49 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Sim;Sim;Importante;Muito importante;Muito importante;Psicológica;Sim;Física;;
476;Não;Na família;No trabalho;Não;;;;;;;40 a 49 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;As vezes;Não;Muito importante;Importante;Importante;Física;Não;;;
477;Não;Na família;No trabalho;Sim;Física;4 vezes ou mais;20 a 29 anos;Marido;Procurou uma delegacia comum;Ruim;40 a 49 anos;Ensino fundamental;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;NS/NR;NS/NR;Muito importante;Importante;Importante;Física;Sim;Física;Foi para sua casa;
478;Não;Na família;No trabalho;Não;;;;;;;40 a 49 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Sim;Sem importância;Muito importante;Muito importante;Física;Não;;;
479;As vezes;Na Justiça;No trabalho;Não;;;;;;;40 a 49 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Dona de casa;Sudeste;Não;Sim;Muito importante;Importante;Importante;Física;Não;;;
480;As vezes;Na família;Na solicitação de serviços;Não;;;;;;;40 a 49 anos;Ensino fundamental;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Dona de casa;Sudeste;Não;Sim;Muito importante;Muito importante;Importante;Sexual;Sim;Psicológica;;
481;As vezes;Nas instituições públicas;No trabalho;Não;;;;;;;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;As vezes;Não;Importante;Muito importante;Pouco importante;Física;Sim;Física;;
482;Não;Na família;Na família;Não;;;;;;;40 a 49 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Sim;Física;;
483;Não;Na família;Na solicitação de serviços;Não;;;;;;;40 a 49 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
484;Não;Na família;Na solicitação de serviços;Não;;;;;;;40 a 49 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Sim;Física;;
485;As vezes;Na família;Na solicitação de serviços;Não;;;;;;;40 a 49 anos;Ensino superior;NS/NR;Dona de casa;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
486;Sim;Na Justiça;Nas instituições públicas;Não;;;;;;;40 a 49 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Em parte;Importante;Muito importante;Importante;Psicológica;Não;;;
487;NS/NR;No trabalho;Na solicitação de serviços;Não;;;;;;;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Em parte;Muito importante;Muito importante;Indiferente;Sexual;Não;;;
488;As vezes;Na Justiça;Na família;Não;;;;;;;40 a 49 anos;Ensino superior;Mais de 21 salários mínimos (R$ 5.460);NS/NR;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Sim;Física;;
489;Não;Na Justiça;No trabalho;Não;;;;;;;40 a 49 anos;Ensino fundamental;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Importante;Moral;Não;;;
490;Não;Na família;Nas instituições públicas;Sim;Física;3 vezes;20 a 29 anos;Marido;Silenciou;;50 a 59 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Não;Muito importante;Importante;Muito importante;Sexual;Não;;;
491;As vezes;Na Justiça;Na família;Não;;;;;;;50 a 59 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Física;Sim;Física;;
492;Sim;No trabalho;Na família;Não;;;;;;;50 a 59 anos;Não alfabetizada;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Sexual;Sim;Moral;;
493;As vezes;Na família;Na família;Não;;;;;;;50 a 59 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;As vezes;Não;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
494;Não;Na família;Nas instituições públicas;Não;;;;;;;50 a 59 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Não;Importante;Indiferente;Muito importante;Moral;Sim;Moral;;
495;Não;Na família;Nas instituições públicas;Não;;;;;;;50 a 59 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Dona de casa;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Sim;Física;;
496;Não;Na solicitação de serviços;No trabalho;Não;;;;;;;50 a 59 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Não;Sem importância;Importante;Muito importante;Moral;Não;;;
497;Não;Na solicitação de serviços;No trabalho;Não;;;;;;;50 a 59 anos;Pós-graduação;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Sim;Importante;Importante;Importante;Física;Sim;Física;;
498;Não;Na família;No trabalho;Não;;;;;;;50 a 59 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);NS/NR;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Moral;Sim;Moral;;
499;As vezes;Na família;No trabalho;Sim;Física;1 vez;20 a 29 anos;Marido;Procurou ajuda da família;;50 a 59 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Física;Sim;Física;;
500;Não;Na família;Na solicitação de serviços;Não;;;;;;;50 a 59 anos;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Moral;Sim;Física;;
501;Não;Na família;Na Justiça;Não;;;;;;;50 a 59 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Em parte;Importante;Muito importante;Muito importante;Sexual;Não;;;
502;Não;NS/NR;Na família;Sim;Psicológica;4 vezes ou mais;20 a 29 anos;Companheiro;Silenciou;;50 a 59 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Sim;Sim;Muito importante;Muito importante;Muito importante;Psicológica;Sim;Psicológica;;
503;As vezes;Na família;NS/NR;Não;;;;;;;50 a 59 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);NS/NR;Sudeste;Não;Sim;Importante;Importante;Muito importante;Física;Não;;;
504;Não;Na família;No trabalho;Não;;;;;;;50 a 59 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Moral;Não;;;
505;Sim;Na família;Na solicitação de serviços;Não;;;;;;;60 anos ou mais;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
506;Sim;Na família;Na família;Não;;;;;;;60 anos ou mais;Não alfabetizada;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;As vezes;Em parte;Importante;Muito importante;Muito importante;Física;Não;;;
507;Sim;Na Justiça;Na Justiça;Não;;;;;;;60 anos ou mais;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;As vezes;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
508;Não;Na família;No trabalho;Não;;;;;;;60 anos ou mais;Ensino superior;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Física;Não;;;
509;Não;Na família;Na solicitação de serviços;Não;;;;;;;60 anos ou mais;Não alfabetizada;NS/NR;Dona de casa;Sudeste;Não;Não;Muito importante;Muito importante;Importante;Moral;Não;;;
510;Não;Na família;No trabalho;Não;;;;;;;60 anos ou mais;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);NS/NR;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Moral;Sim;Física;;
511;Não;Nas instituições públicas;Na família;Sim;Psicológica;4 vezes ou mais;40 a 49 anos;Companheiro;NS/NR;;60 anos ou mais;Ensino médio;Mais de 21 salários mínimos (R$ 5.460);Dona de casa;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Moral;Não;;;
512;Não;Na família;Nas instituições públicas;Sim;Física;4 vezes ou mais;20 a 29 anos;Marido;Procurou uma delegacia comum;Péssimo;60 anos ou mais;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Sim;Física;Foi para sua casa;
513;Não;Na solicitação de serviços;NS/NR;Não;;;;;;;60 anos ou mais;Ensino médio;NS/NR;Dona de casa;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Sim;Física;;
514;As vezes;Nas instituições públicas;No trabalho;Não;;;;;;;60 anos ou mais;Não alfabetizada;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Não;Importante;Importante;Importante;Moral;Não;;;
515;Não;Na família;Na Justiça;Não;;;;;;;60 anos ou mais;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Sim;Importante;Importante;Muito importante;Moral;Não;;;
516;As vezes;Na família;No trabalho;Não;;;;;;;60 anos ou mais;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
517;As vezes;Na família;Nas instituições públicas;Não;;;;;;;60 anos ou mais;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Moral;Não;;;
518;Não;Na família;Nas instituições públicas;Não;;;;;;;60 anos ou mais;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Não;Importante;Importante;NS/NR;Moral;Não;;;
519;Não;Na família;No trabalho;Não;;;;;;;60 anos ou mais;Ensino fundamental;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Dona de casa;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
520;Não;Na família;No trabalho;Sim;Sexual;2 vezes;até 19 anos;Amigo;Procurou uma delegacia comum;Ruim;16 a 19 anos;Ensino fundamental;NS/NR;Estudante;Nordeste;Não;Em parte;Muito importante;Muito importante;Importante;Moral;Não;;Foi para sua casa;
521;Não;Na família;Nas instituições públicas;Não;;;;;;;16 a 19 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Estudante;Nordeste;Não;Não;Importante;Importante;Pouco importante;Sexual;Não;;;
522;As vezes;No trabalho;Na família;Não;;;;;;;16 a 19 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Estudante;Nordeste;Não;Sim;Muito importante;Muito importante;Pouco importante;Moral;Sim;Física;;
523;Não;No trabalho;Na família;Não;;;;;;;16 a 19 anos;Ensino médio;NS/NR;Estudante;Nordeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
524;Não;Na Justiça;Nas instituições públicas;Não;;;;;;;16 a 19 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Estudante;Nordeste;Sim;Em parte;Muito importante;Importante;Muito importante;Moral;Sim;Física;;
