"ID";"P03";"P05";"P06";"P07";"P08";"P12";"P1301";"P1302";"P1303";"P1304";"P1305";"P1306";"P1307";"P1308";"P1309";"P14";"P15";"P16";"P19";"P20";"P21";"P22";"P231";"P232";"P233";"P234";"P235";"P236";"P237";"P238";"P24";"P251";"P252";"P253";"P254";"P255";"P256";"P257";"P258";"P2601";"P2602";"P2603";"P2604";"P2605";"P2606";"P2607";"P2608";"P2609";"P2610";"P2611";"P2612";"P2613";"P2614";"P2615";"P2701";"P2702";"P2703";"P2704";"P2705";"P2706";"P2707";"P2708";"P2709";"P2710";"P2711";"P2712";"P2713";"P2714";"P2715";"P2716";"P2717";"P2718";"P28";"P29";"P30";"P32";"P3101";"P3102";"P3103";"P3104";"P3105";"P3106";"P3107";"P3108";"P3109";"P3110";"P3111";"P33";"P34";"P35";"P36";"P37";"P38";"P39";"REGIAO";"P09";"P10";"P11";"P17";"P18';"PropFM",,,
544;Pernambuco;Às vezes;Na família;Muito machista;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Não;Pouco;Sim;<b>Delegacia da Mulher</b>;Sim;Sim;No;Yes;No;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 50 a 59 anos</b>;<b>Casada</b>;Sim;<b>Fundamental COMPLETO (1º grau completo / ginasial completo)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Profissional Liberal (Autônoma)</b>;Branca;Nordeste;Sim;Sim;Sim;Não;<b>Deve</b>;115230,673684211,
545;Pernambuco;Não;Na rua;Muito machista;Aumentou;Na minoria das vezes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Sim;Sim;Pouco;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;No;No;No;No;No;No;Sim;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Não;Não;Sim;<b>40 a 49 anos</b>;Yes;No;No;No;No;No;No;No;No;No;No;<b>De 50 a 59 anos</b>;<b>Separada</b>;Sim;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>De R$ 1.874,01 a R$ 4.685,00 (mais de 2 a 5)</b>;<b>Servidora Pública/Funcionária Pública</b>;Branca;Nordeste;Sim;Sim;Sim;Não;<b>Deve</b>;19226,888888889
546;Pernambuco;Às vezes;Na rua;Muito machista;Continuou igual;Na minoria das vezes;No;No;No;Yes;No;Yes;No;No;No;Sim;Em parte;Muito;Não;;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 30 a 39 anos</b>;<b>Divorciada</b>;Sim;<b>Pós-graduação COMPLETA</b>;<b>De R$ 4.685,01 a R$ 9.370,00 (mais de 5 a 10)</b>;<b>Servidora Pública/Funcionária Pública</b>;Parda;Nordeste;;;Não;Sim;<b>Deve</b>;13698,1107427056
547;Minas Gerais;Às vezes;Na família;Muito machista;Aumentou;Na minoria das vezes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;Sim;Não;Pouco;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;No;No;No;No;No;Yes;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 50 a 59 anos</b>;<b>Casada</b>;Sim;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>Sem renda</b>;<b>Servidora Pública/Funcionária Pública</b>;Branca;Sudeste;Não;Sim;Sim;Sim;<b>Deve</b>;62433,833333333,,
548;Piauí;Às vezes;No trabalho;Muito machista;Aumentou;Não denunciam;No;Yes;No;No;No;No;Yes;No;No;Sim;Sim;Pouco;Sim;<b>Família</b>;Sim;Sim;Yes;No;Yes;Yes;No;No;No;No;Sim;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Sim;Não;Sim;<b>20 a 29 anos</b>;No;No;No;Yes;No;No;No;No;Yes;No;No;<b>De 50 a 59 anos</b>;<b>Solteira</b>;Não;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Profissional Liberal (Autônoma)</b>;Branca;Nordeste;Sim;Sim;Sim;Sim;<b>Deve</b>;36964,2619047619,
549;Minas Gerais;Não;No trabalho;Muito machista;Aumentou;Na minoria das vezes;No;No;No;No;Yes;No;Yes;No;No;Sim;Em parte;Pouco;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;Yes;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Solteira</b>;Sim;<b>Fundamental COMPLETO (1º grau completo / ginasial completo)</b>;<b>Sem renda</b>;<b>Dona de casa / Do lar</b>;Parda;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;100921,928571429,,
550;Minas Gerais;Às vezes;Na rua;Muito machista;Aumentou;Na maioria das vezes;No;No;No;Yes;Yes;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Polícia (Disque 190)</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Solteira</b>;Não;<b>Superior INCOMPLETO (3º grau incompleto / graduação incompleta)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Estudante</b>;Preta;Sudeste;Sim;Sim;Sim;Não;<b>Deve</b>;59797,1922146027,
551;Pernambuco;Não;No trabalho;Muito machista;Aumentou;Não denunciam;No;Yes;No;No;No;Yes;No;No;No;Sim;Em parte;Muito;Não;;Sim;Sim;Yes;No;Yes;No;Yes;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 30 a 39 anos</b>;<b>Casada</b>;Não;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>De R$ 1.874,01 a R$ 4.685,00 (mais de 2 a 5)</b>;<b>Funcionária de empresa privada</b>;Branca;Nordeste;Sim;Sim;Sim;Não;<b>Deve</b>;13698,1107427056
552;Pernambuco;Não;Na rua;Muito machista;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Não;Pouco;Sim;<b>Família</b>;Sim;Sim;Yes;No;No;No;Yes;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 50 a 59 anos</b>;<b>Divorciada</b>;Sim;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>De R$ 1.874,01 a R$ 4.685,00 (mais de 2 a 5)</b>;<b>Servidora Pública/Funcionária Pública</b>;Parda;Nordeste;Sim;Sim;Sim;Sim;<b>Deve</b>;19226,888888889
553;Pernambuco;Não;Na família;Muito machista;Aumentou;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Em parte;Muito;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;Yes;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 40 a 49 anos</b>;<b>Casada</b>;Sim;<b>Fundamental COMPLETO (1º grau completo / ginasial completo)</b>;<b>Sem renda</b>;<b>Dona de casa / Do lar</b>;Branca;Nordeste;Sim;Sim;Sim;Sim;<b>Deve</b>;68229,7666666667,,
554;Roraima;Às vezes;Na rua;Muito machista;Aumentou;Na minoria das vezes;No;No;No;Yes;Yes;No;No;No;No;Sim;Em parte;Muito;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;Yes;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Solteira</b>;Sim;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Dona de casa / Do lar</b>;Parda;Norte;Sim;Sim;Sim;Sim;<b>Deve</b>;36221,,
555;Pernambuco;Não;;Muito machista;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Não;Pouco;Sim;<b>Delegacia da Mulher</b>;Sim;Sim;No;No;No;Yes;No;No;No;No;Sim;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Não;Não;Não;<b>20 a 29 anos</b>;No;No;No;No;No;Yes;No;No;No;No;No;<b>De 40 a 49 anos</b>;<b>Solteira</b>;Sim;<b>Fundamental INCOMPLETO (1º grau incompleto / ginasial incompleto ou primário)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Dona de casa / Do lar</b>;Parda;Nordeste;Sim;Sim;Sim;Sim;<b>Não sei</b>;68229,7666666667,
556;Minas Gerais;Às vezes;Na rua;Muito machista;Continuou igual;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;<b>Não sei  (Não Ler)</b>;;Sim;Sim;Yes;No;No;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Casada</b>;Sim;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Dona de casa / Do lar</b>;Parda;Sudeste;;;Não;Sim;<b>Deve</b>;62771,4925373134,
557;Pernambuco;Não;Na rua;Muito machista;Diminuiu;Na minoria das vezes;No;No;No;Yes;No;Yes;No;No;No;Sim;Sim;Pouco;Sim;<b>Polícia (Disque 190)</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>60 anos ou mais</b>;<b>Divorciada</b>;Sim;<b>Fundamental COMPLETO (1º grau completo / ginasial completo)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Aposentada / Pensionista</b>;Amarela;Nordeste;;;Não;Não;<b>Não sei</b>;86437,4,
558;Pernambuco;Não;Na rua;Muito machista;Aumentou;Na minoria das vezes;No;No;No;Yes;No;Yes;No;No;No;Sim;Em parte;Muito;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;No;No;No;No;No;No;Sim;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;Não;Não;Não;<b>0 a 15 anos</b>;No;No;No;Yes;No;No;No;No;No;No;No;<b>De 30 a 39 anos</b>;<b>Casada</b>;Não;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>Não sei </b>;<b>Profissional Liberal (Autônoma)</b>;Parda;Nordeste;Sim;Sim;Sim;Sim;<b>Deve</b>;1625,41666666667,,
559;Minas Gerais;Não;No trabalho;Muito machista;Aumentou;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Em parte;Muito;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;Yes;No;No;No;No;No;Sim;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Não;Não;Não;<b>16 a 17 anos</b>;No;No;No;Yes;No;No;No;No;No;No;No;<b>De 20 a 29 anos</b>;<b>Solteira</b>;Sim;<b>Médio INCOMPLETO (2º grau incompleto / colegial incompleto)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Funcionária de empresa privada</b>;Parda;Sudeste;Sim;Sim;Sim;Não;<b>Deve</b>;100921,928571429,
560;Pernambuco;Não;Na rua;Muito machista;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Sim;Muito;Sim;<b>Delegacia da Mulher</b>;Sim;Não;Yes;No;No;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 50 a 59 anos</b>;<b>Viúva</b>;Sim;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Servidora Pública/Funcionária Pública</b>;Branca;Nordeste;Não;Sim;Sim;Não;<b>Deve</b>;35165,15,
561;Minas Gerais;Não;Na rua;Muito machista;Aumentou;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Polícia (Disque 190)</b>;Não;;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Sim;Não;Sim;<b>30 a 39 anos</b>;No;No;No;Yes;No;No;No;No;No;No;No;<b>De 30 a 39 anos</b>;<b>Casada</b>;Sim;<b>Médio INCOMPLETO (2º grau incompleto / colegial incompleto)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Profissional Liberal (Autônoma)</b>;Parda;Sudeste;Sim;Sim;Sim;Não;<b>Deve</b>;105332,52631579,
562;Pernambuco;Não;Na rua;Muito machista;Aumentou;Na minoria das vezes;No;No;Yes;Yes;No;No;No;No;No;Sim;Sim;Muito;Sim;<b>Delegacia da Mulher</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>60 anos ou mais</b>;<b>Divorciada</b>;Sim;<b>Pós-graduação COMPLETA</b>;<b>De R$ 4.685,01 a R$ 9.370,00 (mais de 5 a 10)</b>;<b>Aposentada / Pensionista</b>;Parda;Nordeste;Sim;Sim;Sim;Não;<b>Deve</b>;19226,888888889
563;Minas Gerais;Às vezes;Na rua;Muito machista;Aumentou;Na minoria das vezes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Sim;Não;Muito;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;No;No;No;No;No;Yes;No;No;Sim;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;Não;Não;Não;<b>0 a 15 anos</b>;No;No;No;Yes;No;No;No;No;No;No;No;<b>De 16 a 17 anos</b>;<b>Solteira</b>;Não;<b>Médio INCOMPLETO (2º grau incompleto / colegial incompleto)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Funcionária de empresa privada</b>;Branca;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;100921,928571429,
564;Pernambuco;Às vezes;Na família;Muito machista;Diminuiu;Na minoria das vezes;No;Yes;No;Yes;Yes;No;No;No;No;Sim;Em parte;Muito;Sim;<b>Ministério Público</b>;Sim;Sim;Yes;No;Yes;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Solteira</b>;Não;<b>Superior INCOMPLETO (3º grau incompleto / graduação incompleta)</b>;<b>Sem renda</b>;<b>Estudante</b>;Parda;Nordeste;;;Sim;Sim;<b>Não deve</b>;32194,2598746081,,
565;Minas Gerais;Às vezes;Na família;Muito machista;Continuou igual;Na minoria das vezes;Yes;Yes;No;No;No;Yes;No;No;No;Sim;Não;Pouco;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;Yes;No;No;No;No;No;Sim;Yes;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Sim;Não;Sim;<b>40 a 49 anos</b>;No;No;No;No;No;Yes;No;No;No;No;No;<b>De 40 a 49 anos</b>;<b>União estável</b>;Sim;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Sem renda</b>;<b>Desempregada</b>;Parda;Sudeste;;;Sim;Sim;<b>Deve</b>;80514,7041223404,,
566;Pernambuco;Às vezes;Na rua;Pouco machista;Aumentou;Na minoria das vezes;No;Yes;No;Yes;Yes;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Polícia (Disque 190)</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 40 a 49 anos</b>;<b>Divorciada</b>;Sim;<b>Pós-graduação COMPLETA</b>;<b>De R$ 4.685,01 a R$ 9.370,00 (mais de 5 a 10)</b>;<b>Funcionária de empresa privada</b>;Parda;Nordeste;Sim;Sim;Sim;Não;<b>Deve</b>;13698,1107427056
567;Minas Gerais;Não;Na rua;Pouco machista;Continuou igual;Na minoria das vezes;No;No;No;Yes;No;Yes;No;No;No;Sim;Em parte;Pouco;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;Yes;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Casada</b>;Sim;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Funcionária de empresa privada</b>;Parda;Sudeste;;;Não;Não;<b>Deve</b>;62771,4925373134,
568;Minas Gerais;Não;Na rua;Muito machista;Aumentou;Na minoria das vezes;Yes;No;Yes;Yes;No;No;No;No;No;Sim;Não;Pouco;Sim;<b>Delegacia comum</b>;Sim;Sim;No;No;No;No;No;Yes;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 50 a 59 anos</b>;<b>Divorciada</b>;Não;<b>Pós-graduação COMPLETA</b>;<b>De R$ 1.874,01 a R$ 4.685,00 (mais de 2 a 5)</b>;<b>Aposentada / Pensionista</b>;<b>Prefiro não responder (Não Ler)</b>;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;69610,96875
569;Pernambuco;Não;;Muito machista;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Delegacia da Mulher</b>;Sim;Sim;Yes;No;No;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 50 a 59 anos</b>;<b>Solteira</b>;Sim;<b>Fundamental INCOMPLETO (1º grau incompleto / ginasial incompleto ou primário)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Dona de casa / Do lar</b>;Branca;Nordeste;Sim;Sim;Sim;Não;<b>Deve</b>;115230,673684211,
570;Tocantins;Às vezes;Na rua;Muito machista;Aumentou;Na minoria das vezes;No;Yes;No;Yes;Yes;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Delegacia comum</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Casada</b>;Não;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>De R$ 1.874,01 a R$ 4.685,00 (mais de 2 a 5)</b>;<b>Profissional Liberal (Autônoma)</b>;Amarela;Norte;Sim;Sim;Sim;Sim;<b>Deve</b>;15036,75
571;Minas Gerais;Às vezes;Na família;Muito machista;Aumentou;Na minoria das vezes;No;No;No;Yes;Yes;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Polícia (Disque 190)</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 30 a 39 anos</b>;<b>Casada</b>;Sim;<b>Fundamental COMPLETO (1º grau completo / ginasial completo)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Funcionária de empresa privada</b>;Preta;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;105332,52631579,
572;Pernambuco;Às vezes;Na rua;Pouco machista;Aumentou;Na minoria das vezes;No;No;No;Yes;No;Yes;No;No;No;Sim;Em parte;Pouco;Sim;<b>Polícia (Disque 190)</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 30 a 39 anos</b>;<b>Solteira</b>;Não;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Profissional Liberal (Autônoma)</b>;Parda;Nordeste;Sim;Sim;Sim;Sim;<b>Deve</b>;41906,3205128205,
573;Pernambuco;Não;Na rua;Muito machista;Aumentou;Na minoria das vezes;Yes;No;No;No;No;Yes;No;No;No;Sim;Não;Pouco;Sim;<b>Delegacia comum</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 50 a 59 anos</b>;<b>Casada</b>;Sim;<b>Fundamental COMPLETO (1º grau completo / ginasial completo)</b>;<b>Não sei </b>;<b>Dona de casa / Do lar</b>;<b>Não sei (Não Ler)</b>;Nordeste;Sim;Sim;Sim;Sim;<b>Deve</b>;1723,5,,
574;Minas Gerais;Não;Na família;Muito machista;Aumentou;Na minoria das vezes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Sim;Não;Muito;Sim;<b>A vítima</b>;Sim;Sim;No;No;Yes;No;Yes;No;No;No;Sim;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Não;Não;Não;<b>Não sei</b>;No;No;No;Yes;No;No;No;No;No;No;No;<b>De 30 a 39 anos</b>;<b>Casada</b>;Sim;<b>Doutorado COMPLETO</b>;<b>De R$ 4.685,01 a R$ 9.370,00 (mais de 5 a 10)</b>;<b>Servidora Pública/Funcionária Pública</b>;Branca;Sudeste;Sim;Sim;Sim;Não;<b>Deve</b>;34962,6532738095
575;Pernambuco;Às vezes;Na rua;Muito machista;Aumentou;Na minoria das vezes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Sim;Sim;Pouco;Sim;<b>Central de Atendimento à Mulher (Ligue 180)</b>;Sim;Sim;Yes;No;No;No;No;No;No;No;Sim;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Não;Sim;Não;<b>0 a 15 anos</b>;No;No;No;Yes;No;No;No;Yes;No;No;No;<b>De 20 a 29 anos</b>;<b>Solteira</b>;Não;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Funcionária de empresa privada</b>;Indígena;Nordeste;Não;Sim;Sim;Sim;<b>Deve</b>;32194,2598746081,
576;Pernambuco;Às vezes;Na rua;Pouco machista;Aumentou;Na minoria das vezes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Sim;Em parte;Pouco;Sim;<b>Delegacia da Mulher</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 40 a 49 anos</b>;<b>Casada</b>;Não;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Funcionária de empresa privada</b>;Parda;Nordeste;Sim;Sim;Sim;Sim;<b>Deve</b>;41906,3205128205,
577;Pernambuco;Não;Na família;Muito machista;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Não;Pouco;Sim;<b>Polícia (Disque 190)</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 30 a 39 anos</b>;<b>Solteira</b>;Sim;<b>Fundamental INCOMPLETO (1º grau incompleto / ginasial incompleto ou primário)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Profissional Liberal (Autônoma)</b>;Branca;Nordeste;Sim;Sim;Sim;Sim;<b>Deve</b>;68229,7666666667,
578;Minas Gerais;Às vezes;Na rua;Pouco machista;Aumentou;Na minoria das vezes;Yes;No;Yes;No;No;No;No;No;No;Sim;Sim;Pouco;Sim;<b>Polícia (Disque 190)</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Casada</b>;Sim;<b>Superior INCOMPLETO (3º grau incompleto / graduação incompleta)</b>;<b>Sem renda</b>;<b>Estudante</b>;Branca;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;62771,4925373134,,
579;Pernambuco;Não;Na rua;Muito machista;Aumentou;Não denunciam;No;No;No;Yes;No;Yes;No;No;No;Sim;Não;Pouco;Não;;Sim;Sim;Yes;No;No;No;No;No;No;No;Sim;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Não;Não;Sim;<b>20 a 29 anos</b>;No;No;No;No;No;Yes;No;No;No;No;No;<b>De 40 a 49 anos</b>;<b>Solteira</b>;Sim;<b>Fundamental INCOMPLETO (1º grau incompleto / ginasial incompleto ou primário)</b>;<b>Sem renda</b>;<b>Dona de casa / Do lar</b>;Preta;Nordeste;Sim;Sim;Sim;Sim;<b>Deve</b>;68229,7666666667,,
580;Pernambuco;Não;Na rua;Muito machista;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Em parte;Muito;Sim;;Sim;Sim;No;No;No;No;Yes;No;No;No;Sim;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Não;Não;Não;<b>40 a 49 anos</b>;No;No;No;Yes;No;Yes;No;No;No;No;No;<b>De 50 a 59 anos</b>;<b>Solteira</b>;Sim;<b>Fundamental COMPLETO (1º grau completo / ginasial completo)</b>;<b>Sem renda</b>;<b>Dona de casa / Do lar</b>;Branca;Nordeste;Sim;Sim;Sim;Não;<b>Deve</b>;86437,4,,
