"ID";"P04";"P05";"P06";"P08";"P10";"P11";"P12";"P15";"P16";"P17";"P19";"P071";"P072";"P073";"P074";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P181";"P182";"P183";"P184";"P185";"P186";"P187";"P2001";"P2002";"P2003";"P2004";"P2005";"P2006";"P2007";"P2008";"P2009";"P2010";"P2011";"P211";"P212";"P213";"P214";"P215";"P216";"P217";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"P29";"P30";"P31";"P03";"P32";"P33";"P34";"P35";"P36";"P37";"P02";"P13";"P14",
534;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Não;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Preta;Alagoas                                                  ;Não;Deve,
535;Às vezes;No trabalho;Continuou igual;Não denunciam;Não;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Servidora Pública;Católica;Parda;Alagoas                                                  ;Sim;Deve,
536;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Norte;De 30 a 39 anos;Ensino Médio;Mais de 2 a 5 S.M.;Dona de casa / Do lar;Evangélica;Parda;Amazonas                                                 ;Sim;Deve,
537;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Sim;Yes;Yes;No;No;No;Yes;Yes;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Ex-namorado,ex-marido ou ex-companheiro;Não;;;Denunciou em uma delegacia comum;;Bom;;16 a 19 anos;Segunda vez;Norte;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Estudante;Católica;Parda;Amapá                                                   ;Sim;Deve
538;Não;Na família;Aumentou;Na minoria das vezes;Em parte;Sim;Igual;Sim;Delegacia da Mulher;Não;Não;No;No;Yes;No;No;Yes;No;No;Yes;Yes;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Médio;Sem renda;Estudante;Católica;Branca;Bahia                                                    ;Sim;Deve,
539;Não;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Não;Não;No;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Bahia                                                    ;Sim;Deve,
540;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Melhor;Sim;-2;Não;Não;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Desempregada;Católica;Parda;Bahia                                                    ;Não;Deve,
541;Não;Na sociedade;Continuou igual;Na minoria das vezes;Em parte;Sim;Igual;Sim;Polícia / Delegacia comum;Não;Não;Yes;No;Yes;No;No;Yes;No;No;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Preta;Bahia                                                    ;Não;Deve,
542;Não;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Igual;Não;-2;Não;Não;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Profissional Liberal (Autônoma);Católica;Branca;Bahia                                                    ;Sim;Deve,
543;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Não;Yes;No;Yes;No;No;No;Yes;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Médio;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Católica;Parda;Bahia                                                    ;Sim;Deve,
544;Não;Na sociedade;Continuou igual;Na minoria das vezes;Não;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Sim;No;Yes;Yes;No;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;Padrasto;Não;;;Outra opção;;;;0 a 15 anos;Primeira vez;Nordeste;De 30 a 39 anos;Ensino Médio;Mais de 2 a 5 S.M.;Servidora Pública;Evangélica;Parda;Bahia                                                    ;Não;Deve,
545;Às vezes;Na sociedade;Continuou igual;Na minoria das vezes;Em parte;Sim;Igual;Não;-2;Sim;Não;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Desempregada;Católica;Parda;Bahia                                                    ;Não;Deve,
546;Não;Na família;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;Yes;No;Yes;No;No;No;No;Yes;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Profissional Liberal (Autônoma);Espírita;Preta;Bahia                                                    ;Sim;Deve,
547;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Pior;Sim;Delegacia da Mulher;Sim;Não;Yes;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Médio;Sem renda;Desempregada;Outra;Parda;Bahia                                                    ;Sim;Deve,
548;Não;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Igual;Sim;Central de Atendimento à Mulher (Ligue 180);Sim;Não;Yes;Yes;Yes;No;No;No;No;Yes;No;Yes;Yes;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Funcionária de empresa privada;Evangélica;Branca;Bahia                                                    ;Sim;Deve,
549;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Igual;Sim;Delegacia da Mulher;Sim;Não;No;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Funcionária de empresa privada;Evangélica;Preta;Bahia                                                    ;Sim;Deve,
550;Às vezes;Na sociedade;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Sim;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;Yes;Yes;Yes;No;No;Marido / companheiro;Não;;;Procurou ajuda da família;;;;30 a 39 anos;Primeira vez;Nordeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Profissional Liberal (Autônoma);Outra;Preta;Bahia                                                    ;Não;Deve,
551;Às vezes;Na sociedade;Aumentou;Não denunciam;Em parte;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Não;Yes;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;NS/NR;Ceará                                                   ;Sim;Deve,
552;Não;Na sociedade;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;Yes;Yes;Yes;No;No;Yes;No;Yes;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Médio;Mais de 2 a 5 S.M.;Profissional Liberal (Autônoma);Evangélica;Parda;Ceará                                                   ;Sim;Deve,
553;Não;Na família;Aumentou;Na minoria das vezes;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Não;Sim;No;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Namorado;Sim;Não;;Procurou ajuda da família;;;;30 a 39 anos;Primeira vez;Nordeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Profissional Liberal (Autônoma);Católica;Branca;Ceará                                                   ;Não;Deve,
554;Não;Na sociedade;Aumentou;Na minoria das vezes;Sim;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;No;Yes;No;No;No;Yes;No;No;Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Médio;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Católica;Parda;Ceará                                                   ;Sim;Deve,
555;Não;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Igual;Não;-2;Sim;Não;Yes;Yes;No;No;No;No;No;Yes;Yes;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Médio;Sem renda;Estudante;Católica;Parda;Ceará                                                   ;Sim;Deve,
556;Não;No trabalho;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;No;No;Yes;No;No;No;No;Yes;No;Yes;Yes;No;No;Yes;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Centro-Oeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Servidora Pública;Espírita;Amarela;Distrito Federal                                         ;Sim;Deve,
557;Não;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;NS/NR;Sim;Polícia / Delegacia comum;Sim;Sim;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;Tio / Primo;Não;;;Procurou a Igreja;;;;0 a 15 anos;Primeira vez;Centro-Oeste;De 30 a 39 anos;Ensino Médio;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Evangélica;Branca;Distrito Federal                                         ;Sim;Deve,
558;Às vezes;Na sociedade;Continuou igual;Na minoria das vezes;Não;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;No;No;Yes;No;No;Yes;No;No;Yes;No;No;No;No;Yes;No;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Centro-Oeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Dona de casa / Do lar;Evangélica;Parda;Distrito Federal                                         ;Não;Deve,
559;Não;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;Yes;No;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 30 a 39 anos;Ensino Médio;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Evangélica;Parda;Espírito Santo                                          ;Sim;Deve,
560;Não;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Não;Não;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 30 a 39 anos;Ensino Médio;Sem renda;Dona de casa / Do lar;Evangélica;Parda;Espírito Santo                                          ;Sim;Deve,
561;Não;Na sociedade;Aumentou;Na minoria das vezes;Sim;Sim;Melhor;Sim;-2;Não;Não;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Espírito Santo                                          ;Sim;Deve,
562;Não;Na família;Diminuiu;Não denunciam;Sim;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Não;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Centro-Oeste;De 30 a 39 anos;Ensino Médio;Sem renda;Dona de casa / Do lar;Evangélica;Branca;Goiás                                                   ;Sim;Deve,
563;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Central de Atendimento à Mulher (Ligue 180);Sim;Sim;Yes;No;No;No;No;No;No;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;Marido / companheiro;Sim;Não;;Denunciou em uma Delegacia da Mulher;;Regular;;20 a 29 anos;Terceira vez ou mais;Centro-Oeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Desempregada;Católica;Parda;Goiás                                                   ;Sim;Deve,
564;Não;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Igual;Sim;Delegacia da Mulher;Sim;Não;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Centro-Oeste;De 30 a 39 anos;Ensino Médio;Mais de 2 a 5 S.M.;Servidora Pública;Evangélica;Branca;Goiás                                                   ;Sim;Deve,
565;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Igual;Sim;Delegacia da Mulher;Sim;Não;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Centro-Oeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Profissional Liberal (Autônoma);Evangélica;Branca;Goiás                                                   ;Sim;Deve,
566;Às vezes;Na sociedade;Aumentou;Não denunciam;Em parte;Sim;Igual;Não;-2;Sim;Sim;No;No;Yes;No;Yes;No;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;Yes;No;No;Pai;Não;;;Não fez nada;Medo de vingança do agressor;;;0 a 15 anos;Não procurei ajuda ;Centro-Oeste;De 30 a 39 anos;Ensino Médio;Sem renda;Dona de casa / Do lar;Evangélica;Branca;Goiás                                                   ;Sim;Deve,
567;Às vezes;Na sociedade;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;Yes;No;Yes;No;No;Yes;No;No;No;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Centro-Oeste;De 30 a 39 anos;Ensino Médio;Sem renda;Dona de casa / Do lar;Evangélica;Parda;Goiás                                                   ;Sim;Deve,
568;Às vezes;Na família;Aumentou;Na minoria das vezes;Não;Sim;Pior;Sim;Polícia / Delegacia comum;Sim;Não;Yes;Yes;Yes;No;No;Yes;No;Yes;No;No;Yes;No;No;Yes;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Centro-Oeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Profissional Liberal (Autônoma);Sem religião/crença;Parda;Goiás                                                   ;Sim;Deve,
569;Às vezes;Na família;Aumentou;Na minoria das vezes;Sim;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;No;No;No;Yes;No;No;No;Yes;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Centro-Oeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Goiás                                                   ;Sim;Deve,
570;Não;Na sociedade;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Sim;-2;Sim;Sim;No;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;Ex-namorado,ex-marido ou ex-companheiro;Não;;;Procurou ajuda da família;;;;16 a 19 anos;Terceira vez ou mais;Nordeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Dona de casa / Do lar;Evangélica;Parda;Maranhão                                                ;Sim;Deve
571;Às vezes;Na família;Aumentou;Na minoria das vezes;Sim;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;NS/NR;Católica;Parda;Maranhão                                                ;Sim;Deve,
572;Não;No trabalho;Aumentou;Na minoria das vezes;Em parte;Sim;NS/NR;Sim;Delegacia da Mulher;Sim;Não;No;Yes;No;No;No;No;No;Yes;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Profissional Liberal (Autônoma);Evangélica;Parda;Maranhão                                                ;Sim;Deve,
573;Às vezes;No trabalho;Aumentou;Na minoria das vezes;Sim;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Preta;Maranhão                                                ;Não;Deve,
574;Não;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 30 a 39 anos;Ensino Médio;Sem renda;Estudante;Católica;Parda;Maranhão                                                ;Sim;Deve,
575;Às vezes;No trabalho;Aumentou;Na minoria das vezes;Sim;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Sim;Yes;Yes;Yes;No;No;Yes;No;No;Yes;Yes;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Marido / companheiro;Não;;;Denunciou em uma delegacia comum;;Ótimo;;20 a 29 anos;Primeira vez;Centro-Oeste;De 30 a 39 anos;Ensino Médio;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Sem religião/crença;Parda;Mato Grosso                                              ;Sim;Deve,
576;Às vezes;Na sociedade;Diminuiu;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;No;Yes;Yes;No;No;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Centro-Oeste;De 30 a 39 anos;Ensino Médio;Mais de 2 a 5 S.M.;Profissional Liberal (Autônoma);Sem religião/crença;Branca;Mato Grosso                                              ;Não;Deve,
577;Não;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Igual;Sim;Delegacia da Mulher;Não;Não;Yes;No;Yes;No;Yes;No;No;Yes;Yes;Yes;No;Yes;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Servidora Pública;Evangélica;Parda;Minas Gerais                                             ;Sim;Deve,
578;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;Yes;No;Yes;No;No;No;No;Yes;Yes;No;Yes;No;No;Yes;No;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 30 a 39 anos;Ensino Médio;Sem renda;Profissional Liberal (Autônoma);Evangélica;Preta;Minas Gerais                                             ;Sim;Deve,
579;Às vezes;Na sociedade;NS/NR;Não denunciam;Não;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Empregada doméstica;Católica;NS/NR;Minas Gerais                                             ;Não;Deve,
580;Às vezes;Na sociedade;Continuou igual;Na minoria das vezes;Em parte;Sim;Igual;Sim;Polícia / Delegacia comum;Não;Não;No;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 30 a 39 anos;Ensino Médio;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Evangélica;Preta;Minas Gerais                                             ;Não;Não deve,
581;Não;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Não;Yes;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 30 a 39 anos;Ensino Médio;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Espírita;Preta;Minas Gerais                                             ;Não;Deve,
582;Não;Na sociedade;Aumentou;Não denunciam;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Não;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Funcionária de empresa privada;Evangélica;Branca;Minas Gerais                                             ;Sim;Deve,
583;Às vezes;No trabalho;Continuou igual;Não denunciam;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Não;Yes;No;Yes;No;No;No;Yes;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 30 a 39 anos;Ensino Médio;Sem renda;Dona de casa / Do lar;Evangélica;Preta;Minas Gerais                                             ;Sim;Deve,
584;Às vezes;Na sociedade;Diminuiu;Não denunciam;Em parte;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Sim;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;Ex-namorado,ex-marido ou ex-companheiro;Não;;;Denunciou em uma delegacia comum;;Péssimo;;20 a 29 anos;Primeira vez;Sudeste;De 30 a 39 anos;Ensino Médio;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Evangélica;Branca;Minas Gerais                                             ;Sim;Deve
585;Às vezes;Na família;Continuou igual;Não denunciam;Em parte;Sim;Melhor;Sim;-2;Não;Não;Yes;No;No;No;No;No;No;Yes;No;Yes;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 30 a 39 anos;Ensino Médio;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Católica;Branca;Minas Gerais                                             ;Sim;Deve,
586;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;No;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 30 a 39 anos;Ensino Médio;Até 2 S.M.;Funcionária de empresa privada;Sem religião/crença;Branca;Minas Gerais                                             ;Não;Deve,
