"ID";"P04";"P05";"P10";"P11";"P19";"P2001";"P2002";"P2003";"P2004";"P2005";"P2006";"P2007";"P2008";"P2009";"P2010";"P2011";"P211";"P212";"P213";"P214";"P215";"P216";"P217";"P22";"P23";"P25";"P26";"P28";"P30";"P06";"P08";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P15";"P16";"P17";"P181";"P182";"P183";"P184";"P185";"P186";"P187";"P24";"P27";"P29";"P31";"P32";"P33";"Renda2";"P35";"P37";"P36";"P03";"P02";"P071";"P072";"P073";"P074";"P12";"P13";"P14";"P34"
554;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Não;Sim;Não;Sim;Não;Sim;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;30 a 39 anos;Ens. Superior;Mais de 2 a 5 S.M.;Servidora Pública;Preta;Católica;Sul;Paraná;Não;Sim;Sim;Não;Igual;Não;Sim;Mais de 2 a 5 S.M.
555;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Não denunciam;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Sim;Sim;Não;Não;Não;;;;;40 a 49 anos;Ens. Médio;Até 2 S.M.;Empregada doméstica;Branca;Católica;Sul;Paraná;Sim;Não;Sim;Não;Melhor;Não;Sim;Até 2 S.M.
556;Às vezes;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;40 a 49 anos;Até Ens. Fund.;Até 2 S.M.;Funcionária de empresa privada;Branca;Sem religião/crença;Sul;Paraná;Sim;Não;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
557;Às vezes;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Sim;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Sim;Não;Não;Não;;;;;40 a 49 anos;Ens. Superior;Até 2 S.M.;Funcionária de empresa privada;Parda;Católica;Sul;Paraná;Sim;Sim;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
558;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Dona de casa / Do lar;Branca;Católica;Sul;Paraná;Sim;Sim;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
559;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Sim;Não;Não;NS/NR;;Sim;Sim;Não;Não;Não;Sim;Não;Não;;;;;20 a 29 anos;Ens. Médio;Sem renda;Profissional Liberal (Autônoma);Amarela;Evangélica;Sul;Paraná;Sim;Não;Não;Não;Melhor;Sim;Sim;Sem renda
560;Às vezes;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Sim;Não;Não;Sim;Sim;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Sim;Não;Não;Não;;;;;40 a 49 anos;Ens. Superior;Até 2 S.M.;Profissional Liberal (Autônoma);Parda;Católica;Sul;Paraná;Sim;Sim;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
561;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;16 a 19 anos;Até Ens. Fund.;Até 2 S.M.;Estudante;Amarela;Outra;Sul;Paraná;Sim;Não;Sim;Não;Melhor;Não;Sim;Até 2 S.M.
562;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Empregada doméstica;Preta;Católica;Sul;Paraná;Sim;Sim;Sim;Não;Melhor;Sim;Não;Até 2 S.M.
563;Às vezes;Na sociedade;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Namorado;Sim;;Não fez nada;;16 a 19 anos;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Acreditar que seria a última vez;;3ª vez ou +;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Outra;Sul;Paraná;Não;Sim;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
564;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;20 a 29 anos;Ens. Médio;NS/NR;Funcionária de empresa privada;Branca;Católica;Sul;Paraná;Não;Não;Sim;Não;Melhor;Não;Sim;NS/NR
565;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Sim;Não;Não;;;;;40 a 49 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Católica;Sul;Paraná;Sim;Não;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
566;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Não denunciam;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;;;;;;;;;;;;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Amarela;Evangélica;Sul;Paraná;Sim;Não;Sim;Não;Melhor;Sim;Não;Até 2 S.M.
567;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;40 a 49 anos;Ens. Superior;Sem renda;Dona de casa / Do lar;Branca;Católica;Sul;Paraná;Não;Não;Sim;Não;Melhor;Sim;Não;Sem renda
568;Não;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Outras respostas ;Não;;;;;;;;;;;;30 a 39 anos;Ens. Médio;Sem renda;Dona de casa / Do lar;Branca;Evangélica;Sul;Paraná;Sim;Não;Sim;Não;Melhor;Sim;Sim;Sem renda
569;Não;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;60 ou mais;Ens. Superior;Mais de 5 S.M.;Aposentada / Pensionista;Branca;Católica;Sul;Paraná;Sim;Sim;Não;Não;Melhor;Sim;Sim;Mais de 5 a 10 S.M.
570;Às vezes;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;40 a 49 anos;Até Ens. Fund.;Sem renda;Profissional Liberal (Autônoma);Branca;Católica;Sul;Paraná;Sim;Sim;Não;Não;Melhor;Sim;Sim;Sem renda
571;Sim;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;50 a 59 anos;Até Ens. Fund.;Sem renda;Dona de casa / Do lar;Branca;Católica;Sul;Paraná;Não;Não;Não;Sim;Melhor;NS/NR;Sim;Sem renda
572;Às vezes;No trabalho;Em parte;Sim;Sim;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Marido / companheiro;Não;;Procurou ajuda da família;;30 a 39 anos;Aumentou;Na minoria das vezes;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Não;Não;Não;Não;Sim;Não;Não;;;;1ª vez;50 a 59 anos;Ens. Superior;Mais de 2 a 5 S.M.;Dona de casa / Do lar;Branca;Católica;Sul;Paraná;Não;Sim;Não;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
573;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;20 a 29 anos;Ens. Médio;Sem renda;Desempregada;Parda;Evangélica;Norte;Roraima;Não;Não;Sim;Não;Pior;Não;Sim;Sem renda
574;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Outras respostas ;Sim;Não;Não;Sim;Não;Não;Não;Não;;;;;40 a 49 anos;Até Ens. Fund.;Mais de 2 a 5 S.M.;Dona de casa / Do lar;Branca;Evangélica;Sul;Paraná;Não;Sim;Não;Não;Igual;Sim;Sim;Mais de 2 a 5 S.M.
575;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Não;Não;Sim;Não;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;20 a 29 anos;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Parda;Católica;Nordeste;Pernambuco;Sim;Não;Não;Não;Melhor;Não;Sim;Até 2 S.M.
576;Não;No trabalho;Não;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Marido / companheiro;Sim;;Outra opção <b>(Não ler)</b>;;30 a 39 anos;Aumentou;NS/NR;;;;;;;;;;Sim;Outras respostas ;Não;;;;;;;;Não;;;1ª vez;50 a 59 anos;Ens. Médio;Até 2 S.M.;Dona de casa / Do lar;Parda;Evangélica;Nordeste;Pernambuco;Sim;Não;Não;Não;Pior;Não;Sim;Até 2 S.M.
577;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Sim;Não;Sim;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Sim;Não;Não;;;;;20 a 29 anos;Ens. Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Branca;Católica;Nordeste;Pernambuco;Não;Não;Sim;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
578;Não;Na sociedade;NS/NR;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;NS/NR;Na minoria das vezes;Não;Não;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;50 a 59 anos;Ens. Superior;Mais de 5 S.M.;Aposentada / Pensionista;Parda;Católica;Nordeste;Pernambuco;Sim;Não;Sim;Não;Melhor;Não;Sim;Mais de 5 a 10 S.M.
579;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Sim;Outras respostas ;Não;;;;;;;;;;;;60 ou mais;Até Ens. Fund.;Mais de 2 a 5 S.M.;Aposentada / Pensionista;Branca;Católica;Nordeste;Pernambuco;Não;Sim;Sim;Não;Igual;Não;Sim;Mais de 2 a 5 S.M.
580;Não;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;50 a 59 anos;Ens. Superior;Mais de 5 S.M.;Servidora Pública;Parda;Espírita;Nordeste;Pernambuco;Sim;Sim;Sim;Não;Melhor;Não;Sim;Mais de 5 a 10 S.M.
581;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;40 a 49 anos;Até Ens. Fund.;Sem renda;Estudante;Branca;Evangélica;Nordeste;Pernambuco;Não;Não;Sim;Não;Melhor;Sim;Não;Sem renda
582;Não;Na sociedade;Em parte;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Outro;;;Denunciou em uma delegacia comum;Ruim;30 a 39 anos;Aumentou;Na minoria das vezes;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Delegacia da Mulher;Sim;Não;Não;Sim;Não;Sim;Não;Não;Não;;;1ª vez;30 a 39 anos;Ens. Superior;Mais de 5 S.M.;Profissional Liberal (Autônoma);Branca;Católica;Nordeste;Pernambuco;Sim;Não;Não;Não;Melhor;Sim;Sim;Mais de 5 a 10 S.M.
583;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Não;Não;Não;Sim;Sim;Não;Sim;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Parda;Sem religião/crença;Nordeste;Pernambuco;Sim;Não;Sim;Não;Igual;Sim;Sim;Até 2 S.M.
584;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;;Não;;;;;;;;;;;;50 a 59 anos;Até Ens. Fund.;Sem renda;Dona de casa / Do lar;Parda;Evangélica;Nordeste;Pernambuco;Sim;Não;Não;Não;Pior;Sim;Sim;Sem renda
585;Às vezes;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;50 a 59 anos;Ens. Médio;Mais de 2 a 5 S.M.;Profissional Liberal (Autônoma);Branca;Católica;Nordeste;Pernambuco;Sim;Não;Sim;Não;Igual;Sim;Sim;Mais de 2 a 5 S.M.
586;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;30 a 39 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Evangélica;Nordeste;Pernambuco;Não;Não;Sim;Não;Igual;Sim;Sim;Até 2 S.M.
587;Às vezes;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Parda;Católica;Nordeste;Pernambuco;Sim;Sim;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
588;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;20 a 29 anos;Ens. Médio;Sem renda;Dona de casa / Do lar;Branca;Católica;Nordeste;Pernambuco;Sim;Sim;Não;Não;Melhor;Não;Sim;Sem renda
589;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Não;Não;Não;Não;Sim;Não;Não;;;;;30 a 39 anos;Ens. Superior;Até 2 S.M.;Servidora Pública;Parda;Católica;Nordeste;Pernambuco;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
590;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;30 a 39 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Parda;Católica;Nordeste;Sergipe;Não;Sim;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
591;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;20 a 29 anos;Ens. Superior;Até 2 S.M.;Funcionária de empresa privada;Parda;Evangélica;Nordeste;Pernambuco;Sim;Não;Não;Não;Melhor;Não;Sim;Até 2 S.M.
592;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Sim;Não;Não;Sim;Não;Não;Não;;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;40 a 49 anos;Ens. Médio;Até 2 S.M.;Empregada doméstica;Branca;Evangélica;Nordeste;Pernambuco;Sim;Sim;Não;Não;Melhor;Sim;Não;Até 2 S.M.
593;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;30 a 39 anos;Até Ens. Fund.;Até 2 S.M.;Funcionária de empresa privada;Preta;Evangélica;Nordeste;Pernambuco;Sim;Sim;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
594;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;30 a 39 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Católica;Nordeste;Pernambuco;Não;Sim;Sim;Não;Pior;Sim;Sim;Até 2 S.M.
595;Às vezes;No trabalho;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Sim;Não;Não;Não;Não;Padrasto;Não;;Procurou ajuda dos amigos;;0 a 15 anos;Aumentou;Não denunciam;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Sim;Não;Não;Não;;;;1ª vez;40 a 49 anos;Até Ens. Fund.;Mais de 2 a 5 S.M.;Profissional Liberal (Autônoma);Parda;Outra;Nordeste;Pernambuco;Sim;Sim;Sim;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
596;Às vezes;Na sociedade;Em parte;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Marido / companheiro;Não;;Outra opção <b>(Não ler)</b>;;16 a 19 anos;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Família;Sim;Sim;Não;Não;Não;Sim;Não;Não;;;;3ª vez ou +;30 a 39 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Parda;Evangélica;Nordeste;Pernambuco;Sim;Sim;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
597;Às vezes;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Evangélica;Nordeste;Pernambuco;Sim;Sim;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
598;Sim;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;NS/NR;;Não;;;;;;;;;;;;NS/NR;NS/NR;NS/NR;NS/NR;NS/NR ;NS/NR ;Nordeste;Pernambuco;Sim;Não;Não;Não;Melhor;NS/NR;NS/NR;NS/NR
599;Não;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Outras respostas ;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;30 a 39 anos;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Branca;Evangélica;Nordeste;Pernambuco;Sim;Sim;Não;Não;Melhor;Não;Sim;Até 2 S.M.
600;Às vezes;No trabalho;Em parte;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Não;Não;Não;Ex-namorado/ex-marido/ex-companheiro;Não;;Denunciou em uma Delegacia da Mulher;Bom;40 a 49 anos;Aumentou;Na minoria das vezes;Não;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Central de Atendimento à Mulher (Ligue 180);Sim;Sim;Não;Não;Não;Não;Não;Não;;;;3ª vez ou +;40 a 49 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Parda;Espírita;Nordeste;Pernambuco;Sim;Não;Sim;Não;Melhor;Não;Sim;Até 2 S.M.
601;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;NS/NR;;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;30 a 39 anos;Ens. Superior;Mais de 5 S.M.;Servidora Pública;Branca;Sem religião/crença;Nordeste;Pernambuco;Sim;Sim;Sim;Não;NS/NR;Não;Sim;Mais de 5 a 10 S.M.
602;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Não;Não;Não;Não;Sim;Não;Não;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Estudante;Parda;Católica;Nordeste;Pernambuco;Sim;Não;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
603;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;50 a 59 anos;Ens. Superior;Mais de 2 a 5 S.M.;Servidora Pública;Parda;Católica;Nordeste;Pernambuco;Sim;Não;Sim;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
604;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Sim;Não;Não;Não;Não;;;;;60 ou mais;Ens. Médio;NS/NR;Dona de casa / Do lar;Branca;Católica;Nordeste;Pernambuco;Não;Sim;Não;Não;Igual;Sim;Sim;NS/NR
605;Não;Na sociedade;Em parte;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Tio / Primo;Não;;Não fez nada;;16 a 19 anos;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Sim;Não;Sim;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Sim;Não;Sim;Não;Não;;Outra opção;;Não procurou ajuda;30 a 39 anos;Ens. Superior;Sem renda;Desempregada;Branca;Espírita;Nordeste;Pernambuco;Sim;Sim;Sim;Não;Melhor;Não;Sim;Sem renda
606;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;16 a 19 anos;Ens. Médio;Sem renda;Estudante;Parda;Evangélica;Nordeste;Pernambuco;Sim;Sim;Sim;Não;Melhor;Sim;Sim;Sem renda
607;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;;;;;;;;;;;;60 ou mais;Ens. Superior;NS/NR;Dona de casa / Do lar;Branca;Católica;Nordeste;Pernambuco;Não;Sim;Sim;Não;NS/NR;Sim;Não;NS/NR
608;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;30 a 39 anos;Ens. Médio;Até 2 S.M.;Servidora Pública;Branca;Evangélica;Nordeste;Pernambuco;Sim;Não;Sim;Não;Melhor;Não;Sim;Até 2 S.M.
609;Não;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Outras respostas ;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;60 ou mais;Ens. Superior;Mais de 5 S.M.;Funcionária de empresa privada;Parda;Católica;Nordeste;Pernambuco;Não;Não;Sim;Não;Melhor;Não;Sim;Mais de 5 a 10 S.M.
610;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Sim;Sim;Não;Não;;;;;30 a 39 anos;Ens. Superior;Sem renda;Desempregada;Preta;Espírita;Nordeste;Pernambuco;Sim;Não;Não;Não;Igual;Sim;Sim;Sem renda
611;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Sim;Não;Sim;Não;Não;;;;;40 a 49 anos;Ens. Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Branca;Evangélica;Nordeste;Pernambuco;Sim;Sim;Não;Não;Igual;Sim;Sim;Mais de 2 a 5 S.M.
