"ID";"P01";"P02";"P03";"P04";"P07";"P08";"P12";"P13";"P15";"P18";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P27";"P061";"P062";"P063";"P064";"P065";"P066";"P111";"P112";"P113";"P114";"P141";"P142";"P143";"P144";"P145";"P146";"P171";"P172";"P173";"P174";"P175";"P176";"P1601";"P1602";"P1603";"P1604";"P1605";"P1606";"P1607";"P1608";"P1609";"P1610";"P261";"P262";"P263";"P264";"P265";"P266";"P267";"P268";"P28";"P29";"P30";"P31";"P32";"P33";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P051";"P052";"P053";"P054";"P055";"P056";"P057";"P058";"P10",,
395;Não;Na família;Diminuiu;Não;Não;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Não;No;No;Yes;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;40 a 49 anos;5ª a 8ª série do Fund.;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Empregada doméstica;Evangélica;Região Sudeste;No;No;No;No;Yes;No;No;No;No;;;;;;;;;Sim
396;Às vezes;Outros ambientes;Continua igual;Não;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;Yes;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;No;No;Yes;No;40 a 49 anos;Ensino Médio;Até 1 salário mínimo (Até R$ 415,00);Funcionária de empresa privada;Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim,
397;Não;Na família;Aumentou;Não;Não;Não;Polícia / Delegacia;Sim;Sim;Marido;Não;;;Procurou ajuda da família;;;40 a 49 anos;Sim;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;50 a 59 anos;Ensino Médio;Até 1 salário mínimo (Até R$ 415,00);Empregada doméstica;Católica;Região Sudeste;;;;;;;;;;;;;;;;;;Sim,
398;Às vezes;Na família;Aumentou;Não;Não;Sim;Outras respostas;Sim;Sim;Companheiro;Não;;;Não fez nada;Outra opção;;0 a 16 anos;Não;No;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;50 a 59 anos;5ª a 8ª série do Fund.;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Profissional liberal (Autônoma);Evangélica;Região Sudeste;No;No;Yes;Yes;No;No;No;No;No;;;;;;;;;Não
399;Às vezes;Na família;Aumentou;Às vezes;Em parte;Não;Delegacia da Mulher;Não;Não;;;;;;;;;Sim;No;No;Yes;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;No;Yes;No;40 a 49 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Profissional liberal (Autônoma);Católica;Região Sudeste;;;;;;;;;;No;No;No;No;No;No;Yes;No;NS/NR
400;Às vezes;Na sociedade;Aumentou;Às vezes;Sim;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;Yes;No;Yes;Yes;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;50 a 59 anos;Ensino Superior;Mais de 10 SM (Mais de R$ 4.150,00);Aposentada;Católica;Região Sudeste;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;Não,
401;Às vezes;Na sociedade;Aumentou;Não;Em parte;Não;NS/NR;Sim;Não;;;;;;;;;Sim;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;No;No;Yes;No;60 anos ou +;5ª a 8ª série do Fund.;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Outras opções;Evangélica;Região Sudeste;;;;;;;;;;;;;;;;;;Sim
402;Às vezes;Na família;Continua igual;Não;Não;Não;Família;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;Yes;No;No;No;No;No;30 a 39 anos;Pós-graduação;Mais de 10 SM (Mais de R$ 4.150,00);Funcionária de empresa privada;Católica;Região Sudeste;;;;;;;;;;;;;;;;;;Não,
403;Não;Na sociedade;Continua igual;Às vezes;Em parte;Não;Polícia / Delegacia;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;Yes;No;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;20 a 29 anos;Ensino Superior;NS/NR;Estudante;Católica;Região Sudeste;;;;;;;;;;No;No;No;No;No;No;Yes;No;Não,,
404;Não;Na sociedade;Aumentou;Não;Não;Sim;NS/NR;Sim;Não;;;;;;;;;Sim;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;40 a 49 anos;Ensino Médio;NS/NR;Profissional liberal (Autônoma);NS/NR;Região Sudeste;No;No;No;No;Yes;No;No;No;No;;;;;;;;;Não,,
405;Às vezes;Na família;Continua igual;Às vezes;Em parte;Sim;Delegacia da Mulher;Não;Não;;;;;;;;;Não;Yes;Yes;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;Yes;No;60 anos ou +;Ensino Médio;Até 1 salário mínimo (Até R$ 415,00);Aposentada;Católica;Região Sudeste;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Não,
406;Não;Na sociedade;Aumentou;Não;Não;Não;NS/NR;Sim;Sim;Outros;Não;;;NS/NR;;;20 a 29 anos;Sim;Yes;No;No;No;No;No;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;20 a 29 anos;Ensino Superior;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Funcionária de empresa privada;Evangélica;Região Sudeste;;;;;;;;;;;;;;;;;;Não
407;Não;Na família;Aumentou;Às vezes;Não;Sim;Delegacia da Mulher;Sim;Sim;Marido;Sim;Não;;Não fez nada;Outra opção;;30 a 39 anos;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;50 a 59 anos;Até a 4ª série do Fund.;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Empregada doméstica;Evangélica;Região Sudeste;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim
408;Sim;Na família;Continua igual;Às vezes;Sim;Não;Delegacia da Mulher;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;50 a 59 anos;Ensino Superior;NS/NR;Profissional liberal (Autônoma);Católica;Região Sudeste;;;;;;;;;;No;No;No;No;No;No;Yes;No;NS/NR,,
409;Às vezes;Na sociedade;Diminuiu;Não;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;No;No;Yes;No;Yes;No;No;Yes;No;No;Yes;No;Yes;No;No;No;;;;;;;;;;;;;;;;;No;No;Yes;No;Yes;No;No;No;30 a 39 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim
410;Às vezes;Na família;Continua igual;Às vezes;Não;Não;Polícia / Delegacia;Sim;Não;;;;;;;;;Não;Yes;No;No;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;30 a 39 anos;Ensino Médio;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Profissional liberal (Autônoma);Evangélica;Região Sudeste;;;;;;;;;;No;No;No;No;No;No;Yes;No;Sim
411;Não;No trabalho;Aumentou;Às vezes;Em parte;Sim;Família;Sim;Não;;;;;;;;;Sim;No;Yes;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;40 a 49 anos;Ensino Superior;Mais de 10 SM (Mais de R$ 4.150,00);Profissional liberal (Autônoma);Outras religiões;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Não,
412;Não;Na família;Continua igual;Sim;Não;Não;NS/NR;Não;Sim;Companheiro;Não;;;Não fez nada;A certeza de que nada irá mudar;;NS/NR;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;20 a 29 anos;Ensino Médio;NS/NR;Estudante;Espírita;Região Sudeste;;;;;;;;;;No;No;No;No;No;No;Yes;No;Sim,,
413;Não;Na família;Aumentou;Não;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;No;No;No;Yes;No;No;No;No;30 a 39 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Funcionária de empresa privada;Evangélica;Região Sudeste;No;No;No;No;Yes;No;No;No;No;;;;;;;;;Não
414;Não;Na sociedade;Continua igual;Às vezes;Não;Não;Outras respostas;Não;Sim;Marido;Não;;;Outra opção;;;20 a 29 anos;Sim;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;60 anos ou +;Até a 4ª série do Fund.;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Aposentada;Católica;Região Sudeste;;;;;;;;;;No;Yes;No;No;No;No;No;No;Sim
415;Às vezes;Na sociedade;Aumentou;Às vezes;Em parte;Sim;Delegacia da Mulher;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;No;Yes;No;No;No;No;16 a 19 anos;5ª a 8ª série do Fund.;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Estudante;Evangélica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Não
416;Não;Na sociedade;Aumentou;Não;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;40 a 49 anos;Até a 4ª série do Fund.;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Empregada doméstica;Evangélica;Região Sudeste;No;No;No;Yes;No;No;No;No;No;;;;;;;;;Sim
417;Às vezes;Na sociedade;Aumentou;Não;Não;Sim;Família;Sim;Sim;Marido;Sim;Não;;Procurou ajuda dos amigos;;;20 a 29 anos;Sim;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;30 a 39 anos;Ensino Superior;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Evangélica;Região Sudeste;No;No;No;Yes;No;No;No;No;No;;;;;;;;;Não
418;Às vezes;Na sociedade;Aumentou;Às vezes;Em parte;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;40 a 49 anos;Ensino Médio;NS/NR;Do Lar (Dona de casa);Evangélica;Região Sudeste;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim,,
419;Não;NS/NR;Aumentou;Sim;Não;Não;Outras respostas;Não;Não;;;;;;;;;Não;No;No;No;No;Yes;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;No;No;Yes;60 anos ou +;Não Alfabetizado;Até 1 salário mínimo (Até R$ 415,00);Do Lar (Dona de casa);Evangélica;Região Sudeste;;;;;;;;;;No;No;No;No;No;No;No;Yes;Não,
420;Não;Na sociedade;Continua igual;Às vezes;Em parte;Sim;Outras respostas;Sim;Não;;;;;;;;;Não;No;Yes;No;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;Yes;No;No;40 a 49 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Do Lar (Dona de casa);Sem religião - Ateu;Região Sudeste;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim
421;Às vezes;Na sociedade;Diminuiu;Às vezes;Não;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;20 a 29 anos;Ensino Médio;NS/NR;Funcionária de empresa privada;Católica;Região Sudeste;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Sim,,
422;Não;Na sociedade;Aumentou;Sim;Não;Sim;Outras respostas;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;50 a 59 anos;Até a 4ª série do Fund.;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Do Lar (Dona de casa);Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;Sim
423;Não;Na sociedade;Aumentou;Não;Sim;Não;NS/NR;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;No;No;No;No;No;Yes;No;No;60 anos ou +;5ª a 8ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Aposentada;Católica;Região Sudeste;;;;;;;;;;;;;;;;;;Sim,
424;Às vezes;Na família;Continua igual;Não;Não;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;No;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;Yes;Yes;Yes;No;No;No;Yes;No;40 a 49 anos;Ensino Médio;NS/NR;Profissional liberal (Autônoma);Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim,,
425;Às vezes;No trabalho;Continua igual;Não;Não;Sim;Outras respostas;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;16 a 19 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim
426;Não;Na família;Aumentou;Não;Sim;Não;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;30 a 39 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Empregada doméstica;Evangélica;Região Sudeste;;;;;;;;;;;;;;;;;;Não
427;Não;Na sociedade;Continua igual;Não;Não;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;Yes;Yes;Yes;No;No;No;No;No;40 a 49 anos;Ensino Superior;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Funcionária de empresa privada;Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Não
428;Às vezes;No trabalho;Diminuiu;Não;Não;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;16 a 19 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Funcionária de empresa privada;Sem religião - Ateu;Região Sudeste;No;No;No;No;No;No;No;Yes;No;;;;;;;;;Não
429;Não;No trabalho;Aumentou;Às vezes;Em parte;Sim;Outras respostas;Sim;Não;;;;;;;;;Sim;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;No;No;;;;;;;;;;;;;;;;;No;No;No;Yes;No;No;No;No;40 a 49 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Do Lar (Dona de casa);Evangélica;Região Sudeste;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim
430;Não;No trabalho;Aumentou;Não;Não;Não;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;20 a 29 anos;Ensino Superior;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Funcionária de empresa privada;Outras religiões;Região Sudeste;;;;;;;;;;;;;;;;;;Sim
431;Não;Na sociedade;Aumentou;Não;Não;Sim;Outras respostas;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;40 a 49 anos;5ª a 8ª série do Fund.;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Profissional liberal (Autônoma);Evangélica;Região Sudeste;No;No;Yes;No;No;No;No;No;No;;;;;;;;;Sim
432;Às vezes;No trabalho;Continua igual;Não;Em parte;Sim;Delegacia da Mulher;Sim;Não;;;;;;;;;Não;Yes;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;40 a 49 anos;Ensino Superior;Mais de 10 SM (Mais de R$ 4.150,00);Funcionária de empresa privada;Espírita;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Não,
433;Não;Na família;Aumentou;Às vezes;Não;Sim;Família;Sim;Sim;Marido;Não;;;Outra opção;;;20 a 29 anos;Não;Yes;No;No;No;No;No;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;50 a 59 anos;Não Alfabetizado;NS/NR;Do Lar (Dona de casa);Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim,,
434;Às vezes;Na família;Aumentou;Não;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;30 a 39 anos;Até a 4ª série do Fund.;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Profissional liberal (Autônoma);Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Não
435;Às vezes;NS/NR;Continua igual;Sim;Sim;Sim;Outras respostas;Sim;Sim;Marido;Não;;;Denunciou em delegacia comum;;Ótimo;20 a 29 anos;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;30 a 39 anos;Ensino Superior;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Profissional liberal (Autônoma);Evangélica;Região Sudeste;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim
436;Às vezes;No trabalho;Continua igual;Às vezes;Sim;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;No;Yes;No;No;Yes;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;Yes;No;No;60 anos ou +;5ª a 8ª série do Fund.;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Aposentada;Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;Sim
437;Às vezes;Na sociedade;Aumentou;Às vezes;Sim;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;No;No;No;No;Yes;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;40 a 49 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Católica;Região Sudeste;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Sim
438;Não;Na família;Aumentou;Sim;Em parte;Sim;Outras respostas;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;30 a 39 anos;5ª a 8ª série do Fund.;NS/NR;Profissional liberal (Autônoma);Católica;Região Sudeste;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Não,,
439;Às vezes;Na sociedade;Diminuiu;Não;Sim;Não;Polícia / Delegacia;Não;Sim;Marido;Não;;;Denunciou em delegacia comum;;Ótimo;20 a 29 anos;Sim;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;30 a 39 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Profissional liberal (Autônoma);Católica;Região Sudeste;;;;;;;;;;;;;;;;;;Sim
440;Às vezes;Na família;Aumentou;Não;Em parte;Sim;Família;Não;Não;;;;;;;;;Não;Yes;Yes;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;30 a 39 anos;Ensino Superior;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Não
441;Não;No trabalho;Diminuiu;Às vezes;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;Yes;No;Yes;No;;;;;;;;;;;;;;;;;Yes;Yes;No;No;No;Yes;No;No;50 a 59 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Servidora pública;Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim
442;Sim;Na família;Continua igual;Às vezes;Não;Não;Polícia / Delegacia;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;16 a 19 anos;5ª a 8ª série do Fund.;NS/NR;Estudante;Católica;Região Sudeste;;;;;;;;;;No;No;No;No;No;No;Yes;No;Não,,
443;Às vezes;No trabalho;Diminuiu;Às vezes;Em parte;Não;Delegacia da Mulher;Não;Não;;;;;;;;;Sim;No;No;Yes;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;40 a 49 anos;Ensino Médio;NS/NR;Outras opções;Católica;Região Sudeste;;;;;;;;;;No;No;No;No;No;No;Yes;No;Sim,,
444;Não;Na sociedade;Continua igual;Às vezes;Em parte;Sim;Outras respostas;Sim;Sim;Marido;Não;;;Procurou ajuda dos amigos;;;16 a 19 anos;Sim;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;50 a 59 anos;5ª a 8ª série do Fund.;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Servidora pública;Católica;Região Sudeste;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Sim
445;Às vezes;Na família;Diminuiu;Não;Em parte;Sim;Família;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;20 a 29 anos;Ensino Médio;NS/NR;Estudante;Sem religião - Ateu;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Não,,
446;Não;Na família;Aumentou;Não;Não;Sim;Polícia / Delegacia;Sim;Sim;Filhos;Não;;;Não fez nada;Medo de retaliação por parte do agressor;;50 a 59 anos;Sim;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;50 a 59 anos;Ensino Médio;NS/NR;Do Lar (Dona de casa);Católica;Região Sudeste;No;No;No;No;No;No;No;Yes;No;;;;;;;;;Sim,,
447;Não;No trabalho;Continua igual;Não;Em parte;Sim;Outras respostas;Sim;Não;;;;;;;;;Sim;No;No;No;No;Yes;No;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;No;;;;;;;;;;;;;;;;;No;No;No;No;No;Yes;No;No;50 a 59 anos;Pós-graduação;Mais de 10 SM (Mais de R$ 4.150,00);Servidora pública;Sem religião - Ateu;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;NS/NR,
448;Às vezes;Na sociedade;Aumentou;Não;Em parte;Não;Outras respostas;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;No;Yes;No;No;;;;;;;;;;;;;;;;;No;No;No;No;No;Yes;No;No;40 a 49 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Profissional liberal (Autônoma);Evangélica;Região Sudeste;;;;;;;;;;;;;;;;;;Sim
449;Às vezes;Na família;Diminuiu;Às vezes;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;Yes;Yes;Yes;No;Yes;No;No;30 a 39 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Profissional liberal (Autônoma);Evangélica;Região Sudeste;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Não
450;Às vezes;No trabalho;Diminuiu;Não;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;Yes;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;Yes;Yes;Yes;No;Yes;Yes;No;60 anos ou +;Ensino Superior;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Do Lar (Dona de casa);Outras religiões;Região Sudeste;No;No;No;Yes;No;No;No;No;No;;;;;;;;;Sim
