"ID";"P3";"P4";"P5";"P7";"P8";"P9";"P10";"P11";"P12";"P13";"P14";"P15";"P2";"P19";"P20";"P21";"P22";"P6";"P16";"P17";"P18"
349;Não     ;Na sociedade;Em parte;Sim;Uso do álcool           ;Moral              ;Companheiro;Não  ;                            ;Procurou ajuda da família       ;       ;20 a 29 anos;50 a 59 anos;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Servidora Pública              ;PE;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Não     
350;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;PE;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Sim     
351;Às vezes;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Superior    ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Servidora Pública              ;PE;Sim;Outra opção                                                               ;Sim;Em parte
352;Não     ;Na família  ;Sim     ;Sim;Uso de drogas           ;Física             ;Marido     ;Não  ;                            ;Procurou ajuda da família       ;       ;20 a 29 anos;60 anos ou +;Não alfabetizada   ;Até 2 SM (R$ 700)                          ;Aposentada                     ;PE;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Sim     
353;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;PE;Não;Denunciar                                                                 ;Não;Em parte
354;Não     ;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;PE;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
355;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;PE;Não;Denunciar                                                                 ;Sim;Não     
356;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;PE;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Em parte
357;Às vezes;Na família  ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Profissional Liberal (Autônoma);PI;Sim;Denunciar                                                                 ;Sim;Sim     
358;Sim     ;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;PI;Não;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Não;Sim     
359;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;PI;Não;Capacitar lideranças comunitárias para que possam intervir nas emergências;Não;Não     
360;Às vezes;Na família  ;Sim     ;Sim;NS/NR                   ;Física             ;Marido     ;Sim  ;Não sofro mais violência    ;Não fez nada                    ;       ;NS/NR       ;40 a 49 anos;Ensino Superior    ;Até 2 SM (R$ 700)                          ;Servidora Pública              ;PI;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Sim     
361;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;PI;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Sim     
362;Não     ;No trabalho ;Sim     ;Sim;Uso de drogas           ;Física             ;Marido     ;Não  ;                            ;Não fez nada                    ;       ;16 a 19 anos;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;PI;Sim;Denunciar                                                                 ;Não;Sim     
363;Às vezes;Na família  ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Estudante                      ;PI;Sim;Denunciar                                                                 ;Sim;Sim     
364;Não     ;Na família  ;Sim     ;Sim;Influência das amizades ;Todas as anteriores;Marido     ;Não  ;                            ;Denunciou em Delegacia Comum    ;Péssimo;20 a 29 anos;60 anos ou +;Não alfabetizada   ;Até 2 SM (R$ 700)                          ;Aposentada                     ;PI;Sim;Denunciar                                                                 ;Sim;Sim     
365;Às vezes;No trabalho ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;PI;Sim;Denunciar                                                                 ;Sim;Sim     
366;Não     ;Na família  ;Não     ;Sim;Uso do álcool           ;Física             ;Marido     ;Sim  ;Não sofro mais violência    ;Não fez nada                    ;       ;20 a 29 anos;60 anos ou +;Ensino Médio       ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Servidora Pública              ;PI;Não;Outra opção                                                               ;Não;Não     
367;Não     ;Na família  ;Em parte;Sim;Ciúmes                  ;Psicológica        ;Marido     ;Sim  ;Raramente (de vez em quando);Procurou ajuda dos amigos       ;       ;20 a 29 anos;20 a 29 anos;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Do Lar ( Dona de casa)         ;PI;Não;Melhorar a assistência às vítimas                                         ;Sim;Sim     
368;Às vezes;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Outras ocupações               ;PI;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Sim     
369;Não     ;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Aposentada                     ;PI;Sim;Outra opção                                                               ;Sim;Não     
370;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Superior    ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Funcionária de empresa privada ;PR;Sim;Melhorar a assistência às vítimas                                         ;Sim;Em parte
371;Não     ;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;PR;Sim;Melhorar a assistência às vítimas                                         ;Não;Sim     
372;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;PR;Não;Denunciar                                                                 ;Não;Sim     
373;Às vezes;Outros      ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;PR;Sim;Denunciar                                                                 ;Não;Sim     
374;Às vezes;Na sociedade;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;NS/NR                                      ;Funcionária de empresa privada ;PR;Não;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
375;Às vezes;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;PR;Sim;Outra opção                                                               ;Não;Não     
376;Às vezes;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;PR;Sim;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Sim;Em parte
377;Às vezes;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Aposentada                     ;PR;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Em parte
378;Às vezes;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;PR;Não;Denunciar                                                                 ;Não;Sim     
379;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);PR;Sim;Denunciar                                                                 ;Não;Não     
380;Não     ;Na família  ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Estudante                      ;PR;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Sim     
381;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Profissional Liberal (Autônoma);PR;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
382;Sim     ;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;NS/NR                                      ;Do Lar ( Dona de casa)         ;PR;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
383;Não     ;Na família  ;Não     ;Sim;Uso do álcool           ;Todas as anteriores;Marido     ;Não  ;                            ;Denunciou em Delegacia da Mulher;Péssimo;20 a 29 anos;40 a 49 anos;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Servidora Pública              ;PR;Sim;Denunciar                                                                 ;Sim;Não     
384;Às vezes;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;PR;Sim;Estimular o debate social sobre o tema                                    ;Sim;Em parte
385;Não     ;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Profissional Liberal (Autônoma);PR;Sim;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Não;Sim     
386;Às vezes;Na família  ;Sim     ;Sim;Traição conjugal        ;Física             ;Marido     ;Não  ;                            ;Denunciou em Delegacia da Mulher;Ótimo  ;20 a 29 anos;40 a 49 anos;Ensino Fundamental ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Profissional Liberal (Autônoma);PR;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Sim     
387;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Servidora Pública              ;PR;Não;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Sim     
388;Não     ;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;PR;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;NS/NR   
389;Às vezes;Na sociedade;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;NS/NR                                      ;Do Lar ( Dona de casa)         ;PR;Sim;Outra opção                                                               ;Sim;Não     
390;Não     ;Na família  ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;NS/NR                                      ;Desempregada                   ;PR;Sim;Denunciar                                                                 ;Não;Em parte
391;Não     ;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;PR;Sim;Melhorar a assistência às vítimas                                         ;Não;Sim     
392;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;PR;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Sim     
393;Não     ;Na sociedade;Sim     ;Sim;Falta de dinheiro       ;Física             ;Marido     ;Não  ;                            ;Procurou ajuda da família       ;       ;16 a 19 anos;60 anos ou +;Não alfabetizada   ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;PR;Sim;Melhorar a assistência às vítimas                                         ;Sim;Sim     
394;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Aposentada                     ;PR;Não;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Não;Sim     
395;Não     ;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Outras ocupações               ;PR;Sim;Melhorar a assistência às vítimas                                         ;Sim;Em parte
396;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;PR;Sim;Denunciar                                                                 ;Sim;Sim     
397;Às vezes;No trabalho ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Médio       ;NS/NR                                      ;Do Lar ( Dona de casa)         ;PR;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
398;Às vezes;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Estudante                      ;PR;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Não     
399;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Não alfabetizada   ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;PR;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Não     
400;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);PR;Sim;Denunciar                                                                 ;Sim;Sim     
401;Às vezes;Na sociedade;Em parte;Sim;Uso de drogas           ;Física             ;Marido     ;Não  ;                            ;Procurou ajuda dos amigos       ;       ;16 a 19 anos;30 a 39 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);PR;Sim;Denunciar                                                                 ;Não;Sim     
402;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;RJ;Sim;Denunciar                                                                 ;Sim;Sim     
403;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;RJ;Não;Denunciar                                                                 ;Sim;Sim     
404;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Médio       ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Estudante                      ;RJ;Sim;Denunciar                                                                 ;Não;Em parte
405;Não     ;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;RJ;Sim;Melhorar a assistência às vítimas                                         ;Sim;Não     
406;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;RJ;Sim;Denunciar                                                                 ;Sim;Sim     
407;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Superior    ;Até 2 SM (R$ 700)                          ;Desempregada                   ;RJ;Sim;Denunciar                                                                 ;Sim;Em parte
408;Não     ;Outros      ;Não     ;Sim;Outros vícios           ;Física             ;Marido     ;Não  ;                            ;Procurou ajuda da família       ;       ;20 a 29 anos;30 a 39 anos;Ensino Fundamental ;NS/NR                                      ;Desempregada                   ;RJ;Sim;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Não;Não     
409;Não     ;Na família  ;Em parte;Sim;Uso do álcool           ;Física             ;Marido     ;Não  ;                            ;Denunciou em Delegacia da Mulher;Péssimo;30 a 39 anos;50 a 59 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Aposentada                     ;RJ;Sim;Melhorar a assistência às vítimas                                         ;Sim;Não     
410;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;RJ;Sim;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Sim;Não     
411;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);RJ;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Não     
412;Sim     ;NS/NR       ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Servidora Pública              ;RJ;Não;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Não     
413;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Aposentada                     ;RJ;Sim;Denunciar                                                                 ;Sim;Sim     
414;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;RJ;Sim;Denunciar                                                                 ;Não;Sim     
415;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Médio       ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Aposentada                     ;RJ;Sim;Denunciar                                                                 ;Sim;Em parte
416;Às vezes;Na sociedade;Sim     ;Sim;Uso do álcool           ;Física             ;Marido     ;Sim  ;Não sofro mais violência    ;Procurou ajuda dos amigos       ;       ;40 a 49 anos;60 anos ou +;Ensino Fundamental ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Do Lar ( Dona de casa)         ;RJ;Sim;Denunciar                                                                 ;Sim;Sim     
417;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;RJ;Sim;Denunciar                                                                 ;Sim;Sim     
418;Não     ;Outros      ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;RJ;Não;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Não     
419;Às vezes;Na sociedade;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Desempregada                   ;RJ;Sim;Melhorar a assistência às vítimas                                         ;Não;Em parte
420;Sim     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;RJ;Sim;Melhorar a assistência às vítimas                                         ;Sim;Em parte
421;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Aposentada                     ;RJ;Sim;Melhorar a assistência às vítimas                                         ;Sim;Em parte
422;Não     ;Na família  ;Não     ;Sim;Uso do álcool           ;Física             ;Marido     ;Sim  ;Não sofro mais violência    ;Procurou ajuda da família       ;       ;16 a 19 anos;40 a 49 anos;Ensino Fundamental ;NS/NR                                      ;Desempregada                   ;RJ;Sim;Outra opção                                                               ;Sim;Não     
423;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Aposentada                     ;RJ;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Sim     
424;Às vezes;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Profissional Liberal (Autônoma);RJ;Sim;Melhorar a assistência às vítimas                                         ;Sim;Sim     
425;Às vezes;Na família  ;Em parte;Sim;Uso do álcool           ;Física             ;Marido     ;Não  ;                            ;Denunciou em Delegacia Comum    ;Péssimo;30 a 39 anos;40 a 49 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;RJ;Sim;Melhorar a assistência às vítimas                                         ;Sim;Em parte
426;Sim     ;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;RJ;Sim;Denunciar                                                                 ;Não;Sim     
427;Não     ;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Médio       ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Estudante                      ;RJ;Sim;Estimular o debate social sobre o tema                                    ;Não;Não     
428;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Estudante                      ;RJ;Sim;Estimular o debate social sobre o tema                                    ;Sim;Em parte
429;Às vezes;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;NS/NR                                      ;Funcionária de empresa privada ;RJ;Sim;Outra opção                                                               ;Não;Não     
430;Às vezes;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Profissional Liberal (Autônoma);RJ;Sim;Denunciar                                                                 ;Sim;Sim     
431;Às vezes;Na sociedade;NS/NR   ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Aposentada                     ;RJ;Não;NS/NR                                                                     ;Não;Não     
432;Às vezes;Na sociedade;Em parte;Sim;Uso do álcool           ;Física             ;Marido     ;Não  ;                            ;Denunciou em Delegacia da Mulher;Ótimo  ;30 a 39 anos;30 a 39 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;RJ;Não;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Sim     
433;Às vezes;Na sociedade;Em parte;Sim;Uso do álcool           ;Todas as anteriores;Marido     ;Não  ;                            ;Denunciou em Delegacia Comum    ;Péssimo;16 a 19 anos;50 a 59 anos;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Outras ocupações               ;RJ;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Sim     
434;Não     ;Na família  ;Não     ;Sim;Ciúmes                  ;Física             ;Namorado   ;Não  ;                            ;Não fez nada                    ;       ;0 a 16 anos ;16 a 19 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Estudante                      ;RJ;Sim;Denunciar                                                                 ;Sim;Sim     
435;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;RJ;Não;Melhorar a assistência às vítimas                                         ;Não;Em parte
436;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Profissional Liberal (Autônoma);RJ;Sim;Outra opção                                                               ;Sim;Não     
437;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;RJ;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Em parte
438;Sim     ;Outros      ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Aposentada                     ;RJ;Sim;Denunciar                                                                 ;Sim;Não     
439;Não     ;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Servidora Pública              ;RJ;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Não;Em parte
440;Não     ;Na família  ;Não     ;Sim;Ciúmes                  ;Física             ;Companheiro;Sim  ;Não sofro mais violência    ;Não fez nada                    ;       ;16 a 19 anos;30 a 39 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;RJ;Sim;Denunciar                                                                 ;Sim;Sim     
441;Não     ;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;RJ;Sim;Outra opção                                                               ;Sim;Sim     
