"ID";"P04";"P05";"P10";"P11";"P20";"P2101";"P2102";"P2103";"P2104";"P2105";"P2106";"P2107";"P2108";"P2109";"P2110";"P2111";"P221";"P222";"P223";"P224";"P225";"P226";"P227";"P24";"P26";"P27";"P29";"P31";"P06";"P07";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P16";"P17";"P18";"P191";"P192";"P193";"P194";"P195";"P196";"P197";"P25";"P28";"P30";"P32";"P03";"P02";"P34";"P35";"P36";"P37";"P38";"P39";"P12";"P13";"P141";"P142";"P143";"P144";"P15";"P23";"P33_1";"P33_2",
817;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Yes;No;No;No;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;Yes;No;No;;;;;Sudeste;Minas Gerais;30 a 39;Ens. Médio;Até 2 S.M.;Profissional Liberal;NS/NR;Parda;Pior;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
818;NS/NR ;NS/NR ;Sim;Não;Sim;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;Sim;;Procurou ajuda da família;;20 a 29 anos;Diminuiu;NS/NR ;;;;;;;;;;Não;;Não;;;;;;;;Não;;;Não procurei ajuda ;Sudeste;Minas Gerais;60 ou mais;Até Ens. Fund.;Sem renda;Do Lar;Católica;Branca;;;Yes;No;No;No;Não;Marido/companheiro;Fortalece a lei;Aumenta a proteção à mulher,
819;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;Minas Gerais;50 a 59;Até Ens. Fund.;Até 2 S.M.;Funcionária de empresa privada;Evangélica;Parda;Melhor;Sim;Yes;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
820;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;No;Yes;No;Yes;Yes;No;No;No;No;Sim;Delegacia da Mulher;Sim;No;Yes;No;No;No;No;No;;;;;Sudeste;Minas Gerais;20 a 29;Ens. Médio;Até 2 S.M.;Servidora Pública;Outras religiões;Parda;Igual;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
821;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;Yes;No;No;Yes;No;No;No;No;Não;;Não;;;;;;;;;;;;Sudeste;Minas Gerais;40 a 49;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Melhor;Sim;No;No;Yes;No;Não;;Enfraquece a lei;Diminui a proteção à mulher,
822;Às vezes;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Sudeste;Minas Gerais;20 a 29;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Melhor;Não;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
823;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Nordeste;Pernambuco;30 a 39;Ens. Médio;NS/NR;Profissional Liberal;Católica;Branca;Melhor;Não;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
824;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;Minas Gerais;20 a 29;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Evangélica;Branca;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
825;Às vezes;NS/NR ;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Outras respostas ;Não;;;;;;;;;;;;Sudeste;Minas Gerais;20 a 29;Ens. Superior;Até 2 S.M.;Profissional Liberal;Católica;Parda;Melhor;Não;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
826;Não;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;Yes;Yes;No;Yes;No;No;No;Sim;Família;Não;;;;;;;;;;;;Sudeste;Minas Gerais;40 a 49;Ens. Médio;Mais de 2 a 5;Profissional Liberal;Católica;Preta;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
827;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;No;No;Yes;No;No;No;No;No;No;Sim;Outras respostas ;Não;;;;;;;;;;;;Nordeste;Pernambuco;20 a 29;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;Melhor;Não;Yes;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
828;Não;Na família;Em parte;Sim;Sim;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Não;;Procurou ajuda da família;;16 a 19 anos;Continuou igual;Não denunciam;No;No;No;Yes;No;Yes;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;Terceira vez ou mais;Sudeste;Minas Gerais;20 a 29;Ens. Médio;Sem renda;Profissional Liberal;Católica;Branca;Melhor;Sim;Yes;No;No;No;Sim;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
829;NS/NR ;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;No;Yes;No;Yes;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;NS/NR ;;;;;;;;;;;;Sudeste;Minas Gerais;40 a 49;Até Ens. Fund.;Até 2 S.M.;Profissional Liberal;Evangélica;Parda;Melhor;Sim;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
830;Não;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Entidades/Associações de proteção à mulher (ONG);Sim;Yes;No;No;No;Yes;No;No;;;;;Sudeste;Minas Gerais;30 a 39;Ens. Superior;Sem renda;Estudante;Católica;Parda;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
831;Não;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Sudeste;Minas Gerais;30 a 39;Ens. Superior;Até 2 S.M.;Profissional Liberal;Católica;Branca;Melhor;Não;Yes;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
832;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;Yes;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Sudeste;Minas Gerais;50 a 59;Até Ens. Fund.;Até 2 S.M.;Aposentada;Evangélica;Branca;Igual;Não;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
833;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Não;;Sim;Yes;No;No;No;No;No;No;;;;;Sudeste;Minas Gerais;40 a 49;Ens. Médio;Até 2 S.M.;Profissional Liberal;Católica;Branca;Igual;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
834;Às vezes;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;No;No;No;No;No;No;No;Não;;Sim;No;No;No;No;Yes;No;No;;;;;Sudeste;Minas Gerais;50 a 59;Até Ens. Fund.;Sem renda;Do Lar;Evangélica;Branca;Igual;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
835;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;Minas Gerais;50 a 59;Até Ens. Fund.;Mais de 5 a 10;NS/NR;Outras religiões;Branca;Igual;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
836;Às vezes;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;No;No;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;Yes;No;No;;;;;Sudeste;Minas Gerais;50 a 59;Ens. Médio;Sem renda;Do Lar;Católica;Parda;Igual;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
837;Sim;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Sudeste;Minas Gerais;60 ou mais;Ens. Médio;Mais de 2 a 5;Aposentada;Evangélica;Branca;Melhor;Sim;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
838;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;Yes;No;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;Minas Gerais;50 a 59;Ens. Médio;Mais de 2 a 5;Do Lar;Católica;Branca;Melhor;NS/NR ;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
839;Não;No trabalho;Não;Sim;Sim;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Sim;;Não fez nada;;20 a 29 anos;Diminuiu;Na minoria das vezes;No;Yes;No;No;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;Yes;No;No;Não;Vergonha da agressão;;Não procurei ajuda ;Sudeste;Rio de Janeiro;20 a 29;Ens. Médio;Até 2 S.M.;Profissional Liberal;Outras religiões;Preta;Igual;Sim;Yes;Yes;No;No;Sim;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
840;Não;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Não denunciam;No;Yes;No;No;No;No;No;No;No;Não;;Sim;Yes;No;No;No;No;No;No;;;;;Sudeste;Rio de Janeiro;20 a 29;Ens. Médio;Sem renda;Do Lar;Católica;Preta;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
841;Às vezes;Na família;Sim;Sim;Sim;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;Sim;;Outra opção;;40 a 49 anos;Aumentou;Na minoria das vezes;No;No;No;Yes;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;No;No;No;No;Yes;No;No;Não;;;Primeira vez;Nordeste;Pernambuco;40 a 49;Até Ens. Fund.;Até 2 S.M.;Do Lar;Evangélica;Parda;Pior;Sim;Yes;No;No;No;Sim;Marido/companheiro;Fortalece a lei;Aumenta a proteção à mulher,
842;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;Yes;No;Yes;Yes;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;Yes;No;No;No;No;;;;;Sudeste;Rio de Janeiro;30 a 39;Ens. Médio;Mais de 2 a 5;Funcionária de empresa privada;Católica;Branca;Melhor;Sim;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
843;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Outras respostas ;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Pernambuco;16 a 19 anos;Até Ens. Fund.;NS/NR;NS/NR;Evangélica;Branca;Igual;Não;No;No;Yes;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
844;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;Rio de Janeiro;50 a 59;Ens. Médio;Mais de 5 a 10;Servidora Pública;Católica;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
845;Às vezes;Na família;Sim;Sim;Sim;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Não;;Outra opção;;30 a 39 anos;Continuou igual;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;Primeira vez;Sudeste;Rio de Janeiro;50 a 59;Até Ens. Fund.;Sem renda;Do Lar;Católica;Branca;Melhor;Sim;Yes;No;No;No;Sim;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
846;Não;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Outras respostas ;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Pernambuco;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Aposentada;Católica;Parda;Melhor;Não;Yes;No;No;No;Sim;;NS/NR;NS/NR,
847;Não;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;No;No;Yes;No;No;No;No;;;;;Nordeste;Pernambuco;50 a 59;Ens. Médio;Mais de 5 a 10;Profissional Liberal;Católica;Parda;Melhor;Não;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
848;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Não;;Não;;;;;;;;;;;;Nordeste;Pernambuco;40 a 49;Até Ens. Fund.;Sem renda;Do Lar;Católica;Branca;Igual;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
849;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;Yes;No;No;No;No;Sim;Outras respostas ;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Pernambuco;16 a 19 anos;Até Ens. Fund.;Sem renda;Estudante;Católica;Amarela;Igual;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
850;Sim;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Pernambuco;50 a 59;Até Ens. Fund.;Sem renda;Do Lar;Católica;Parda;Pior;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
851;Não;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Não denunciam;No;Yes;No;No;No;Yes;No;No;No;Não;;Sim;No;No;No;No;Yes;No;No;;;;;Nordeste;Pernambuco;60 ou mais;Ens. Médio;Até 2 S.M.;Aposentada;Católica;Parda;Melhor;Sim;Yes;No;No;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
852;Não;Na sociedade;Em parte;Sim;Sim;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Não;;Denunciou em delegacia comum;Regular;20 a 29 anos;Aumentou;Na minoria das vezes;Yes;No;No;No;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;Primeira vez;Nordeste;Pernambuco;20 a 29;Até Ens. Fund.;Até 2 S.M.;Profissional Liberal;Católica;Parda;Igual;Sim;Yes;No;No;No;Sim;Ex-namorado,ex-marido ou ex-companheiro;Enfraquece a lei;Diminui a proteção à mulher
853;Às vezes;NS/NR ;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Nordeste;Pernambuco;30 a 39;Ens. Superior;Até 2 S.M.;Servidora Pública;Católica;Parda;Melhor;Sim;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
854;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;No;No;No;Yes;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Pernambuco;16 a 19 anos;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Católica;Parda;Igual;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
855;Às vezes;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Família;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Pernambuco;40 a 49;Ens. Médio;Até 2 S.M.;Servidora Pública;Católica;Parda;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
856;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Pernambuco;30 a 39;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
857;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;No;Yes;Yes;No;No;No;Sim;Polícia / Delegacia comum;Sim;No;No;No;No;No;Yes;No;;;;;Nordeste;Pernambuco;40 a 49;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Melhor;Sim;Yes;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
858;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;Yes;Yes;No;No;No;No;;;;;Nordeste;Pernambuco;30 a 39;Ens. Superior;Mais de 2 a 5;Funcionária de empresa privada;Católica;Parda;Melhor;Não;No;No;Yes;No;Sim;;Fortalece a lei;Diminui a proteção à mulher,
859;Não;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Não denunciam;No;No;No;No;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Nordeste;Pernambuco;40 a 49;Até Ens. Fund.;Até 2 S.M.;Do Lar;Católica;Branca;Melhor;Não;Yes;No;No;No;Sim;;Fortalece a lei;Diminui a proteção à mulher,
860;Às vezes;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na maioria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Nordeste;Pernambuco;20 a 29;Até Ens. Fund.;Até 2 S.M.;Profissional Liberal;Evangélica;Branca;Melhor;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
861;Às vezes;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;Yes;Yes;No;No;Yes;No;No;Sim;Polícia / Delegacia comum;Sim;No;No;No;No;Yes;No;No;;;;;Centro Oeste;Goiás;20 a 29;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Igual;Não;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
862;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;No;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Centro Oeste;Goiás;16 a 19 anos;Até Ens. Fund.;Até 2 S.M.;Profissional Liberal;Evangélica;Parda;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
863;Não;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Centro Oeste;Goiás;20 a 29;Ens. Médio;Até 2 S.M.;Profissional Liberal;Católica;Parda;Igual;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
864;Não;Na sociedade;Em parte;Sim;Sim;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Não;;Denunciou em delegacia comum;Bom;20 a 29 anos;Diminuiu;Na minoria das vezes;Yes;No;No;No;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;Primeira vez;Centro Oeste;Goiás;20 a 29;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Melhor;Não;No;No;Yes;No;Sim;Ex-namorado,ex-marido ou ex-companheiro;Enfraquece a lei;Diminui a proteção à mulher
865;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;No;No;No;No;Yes;No;No;;;;;Centro Oeste;Goiás;40 a 49;Ens. Médio;Até 2 S.M.;Profissional Liberal;Evangélica;Branca;Igual;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
866;Às vezes;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;No;No;No;No;No;No;Yes;No;No;Não;;Sim;Yes;No;Yes;No;No;No;No;;;;;Centro Oeste;Goiás;30 a 39;Ens. Superior;Mais de 2 a 5;Servidora Pública;Católica;Parda;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
867;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;No;No;Yes;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;Yes;No;Yes;No;No;;;;;Centro Oeste;Goiás;40 a 49;Ens. Médio;Mais de 2 a 5;Profissional Liberal;Católica;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
868;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;Yes;No;No;;;;;Centro Oeste;Goiás;40 a 49;Ens. Médio;Mais de 5 a 10;Profissional Liberal;Católica;Branca;Melhor;NS/NR ;Yes;Yes;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
869;Às vezes;Na sociedade;Em parte;Não;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;No;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Centro Oeste;Goiás;20 a 29;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Evangélica;Parda;;;Yes;No;No;No;NS/NR ;;Fortalece a lei;Aumenta a proteção à mulher,
870;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;No;Yes;Yes;Yes;Yes;No;No;Não;;Não;;;;;;;;;;;;Sul;Rio Grande do Sul;50 a 59;Ens. Médio;Mais de 2 a 5;Aposentada;Católica;Branca;Melhor;Sim;Yes;No;No;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
871;Às vezes;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;No;No;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;Yes;No;No;No;No;;;;;Sul;Rio Grande do Sul;30 a 39;Ens. Superior;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
872;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sul;Rio Grande do Sul;16 a 19 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;Melhor;Sim;No;Yes;No;No;Não;;Enfraquece a lei;Diminui a proteção à mulher,
873;Não;Na sociedade;Não;Sim;Sim;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Não;;Denunciou em delegacia comum;Ruim;20 a 29 anos;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;No;No;No;No;No;Yes;No;;;;Primeira vez;Sul;Rio Grande do Sul;30 a 39;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Católica;Branca;Igual;Sim;No;No;Yes;No;Sim;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
874;Às vezes;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;No;No;No;No;No;No;Yes;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sul;Rio Grande do Sul;30 a 39;Até Ens. Fund.;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;Melhor;Não;Yes;No;No;No;Sim;;NS/NR;Diminui a proteção à mulher,
875;Não;Na família;Não;Não;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sul;Rio Grande do Sul;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Católica;Branca;;;No;Yes;No;No;NS/NR ;;NS/NR;NS/NR,
